seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	614	1519	rna-NM_001258748.2	CG43075
ref::NC_004354.4	3000	3925	rna-NM_001258749.2	CG43076
ref::NC_004354.4	5856	6599	rna-NR_123911.1	lncRNA:CR44430
ref::NC_004354.4	9087	10218	rna-NM_132783.3	CG9101
ref::NC_004354.4	24202	25256	rna-NM_132784.2	PPYR1
ref::NC_004354.4	51379	52748	rna-NM_132785.2	CG9106
ref::NC_004354.4	51379	52748	rna-NM_167433.2	CG9106
qry::NC_052526.2	3000	3943	rna-XM_039376946.2	LOC6524799
qry::NC_052526.2	9532	10753	rna-XM_002100606.4	LOC6524800
qry::NC_052526.2	23998	25107	rna-XM_002100608.4	LOC6524802
qry::NC_052526.2	28645	37444	rna-XR_001453818.2	LOC26535084
qry::NC_052526.2	28645	37444	rna-XR_001453819.2	LOC26535084
qry::NC_052526.2	52845	54354	rna-XM_002100610.4	LOC6524804
