seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2783	rna-NM_001316578.1	MetRS-m
ref::NT_033777.3	0	2783	rna-NM_001275635.2	MetRS-m
ref::NT_033777.3	0	2783	rna-NM_142091.5	MetRS-m
ref::NT_033777.3	3000	4005	rna-NM_142092.2	CG14840
ref::NT_033777.3	4183	5210	rna-NM_142093.1	CG14841
ref::NT_033777.3	5179	6159	rna-NM_142094.2	CG14839
ref::NT_033777.3	6150	29695	rna-NM_057421.3	trx
ref::NT_033777.3	6150	29695	rna-NM_057422.3	trx
ref::NT_033777.3	6150	29695	rna-NM_134281.2	trx
ref::NT_033777.3	6150	29695	rna-NM_134282.2	trx
ref::NT_033777.3	7450	29695	rna-NM_001014621.2	trx
ref::NT_033777.3	7621	8327	rna-NR_133394.1	asRNA:CR46020
ref::NT_033777.3	31021	31457	rna-NR_125161.1	lncRNA:CR45596
ref::NT_033777.3	31863	45068	rna-NM_001300396.1	red
ref::NT_033777.3	31863	45068	rna-NM_142095.4	red
ref::NT_033777.3	32066	45068	rna-NM_001260168.1	red
qry::NC_052530.2	0	417	rna-XM_002097847.4	LOC6537326
qry::NC_052530.2	3000	26963	rna-XM_039376612.2	LOC6537327
qry::NC_052530.2	3001	26963	rna-XM_039376613.2	LOC6537327
qry::NC_052530.2	26954	27850	rna-XM_002097850.4	LOC6537329
qry::NC_052530.2	27922	28953	rna-XM_002097851.4	LOC6537330
qry::NC_052530.2	29011	30068	rna-XM_002097852.4	LOC6537331
qry::NC_052530.2	30301	33288	rna-XM_039375744.1	LOC6537332
qry::NC_052530.2	30303	38710	rna-XM_002097853.3	LOC6537332
