seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	2891	rna-NM_206692.3	CkIIbeta
ref::NC_004354.4	0	154	rna-NM_001258700.2	CkIIbeta
ref::NC_004354.4	3000	6425	rna-NM_001298210.1	Hsc70-3
ref::NC_004354.4	3000	6668	rna-NM_167307.2	Hsc70-3
ref::NC_004354.4	3000	7657	rna-NM_167306.2	Hsc70-3
ref::NC_004354.4	3000	7657	rna-NM_167308.2	Hsc70-3
ref::NC_004354.4	3000	8421	rna-NM_078577.3	Hsc70-3
ref::NC_004354.4	9810	17855	rna-NM_001298212.1	CG1578
ref::NC_004354.4	10659	17047	rna-NM_001298211.1	CG1578
ref::NC_004354.4	10659	17855	rna-NM_132521.3	CG1578
ref::NC_004354.4	18202	34695	rna-NM_132522.3	rudhira
ref::NC_004354.4	18202	35690	rna-NM_001258703.2	rudhira
ref::NC_004354.4	18202	35690	rna-NM_001382106.1	rudhira
ref::NC_004354.4	18202	37030	rna-NM_167309.3	rudhira
ref::NC_004354.4	18202	38764	rna-NM_001258702.1	rudhira
ref::NC_004354.4	19641	37030	rna-NM_001272534.1	rudhira
qry::NC_052526.2	0	2692	rna-XM_002101336.4	LOC6525537
qry::NC_052526.2	0	2694	rna-XM_015190858.2	LOC6525537
qry::NC_052526.2	3000	10502	rna-XM_002101337.4	LOC6525538
qry::NC_052526.2	12691	18109	rna-XM_015190859.3	LOC6525539
qry::NC_052526.2	13354	18109	rna-XM_015190860.3	LOC6525539
qry::NC_052526.2	14385	18109	rna-XM_002101338.4	LOC6525539
qry::NC_052526.2	18210	26824	rna-XM_015190865.2	LOC6525540
qry::NC_052526.2	18210	27229	rna-XM_002101339.3	LOC6525540
qry::NC_052526.2	20898	26332	rna-XM_015190868.3	LOC6525540
