seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	26760	rna-NM_001103605.2	Drgx
ref::NT_033779.5	0	27137	rna-NM_001298663.1	Drgx
ref::NT_033779.5	3000	3574	rna-NM_001169388.2	Sfp24Ba
ref::NT_033779.5	3714	4157	rna-NM_001169389.1	Sfp24Bd
ref::NT_033779.5	4284	4798	rna-NM_001169390.1	Sfp24Bb
ref::NT_033779.5	5154	5604	rna-NM_001169391.1	Sfp24Bc
ref::NT_033779.5	27146	27610	rna-NM_001298664.1	CG16704
ref::NT_033779.5	27161	27610	rna-NM_134953.4	CG16704
ref::NT_033779.5	27722	28205	rna-NM_134954.2	CG3513
ref::NT_033779.5	28207	28928	rna-NM_001258928.2	Acp24A4
ref::NT_033779.5	28502	28912	rna-NM_001042865.1	Acp24A4
ref::NT_033779.5	29128	29441	gene-Dmel_CR43364	CR43364
ref::NT_033779.5	29454	30043	rna-NM_001258929.2	CG43165
ref::NT_033779.5	30055	30434	rna-NM_134955.3	CG16713
qry::NC_052527.2	0	28080	rna-XM_015197968.3	LOC6526752
qry::NC_052527.2	3000	3610	rna-XM_015199243.3	LOC26536346
qry::NC_052527.2	3805	4297	rna-XM_015199214.3	LOC26536126
qry::NC_052527.2	4423	4941	rna-XM_015199032.3	LOC26534534
qry::NC_052527.2	5276	5750	rna-XM_015199121.3	LOC26535289
qry::NC_052527.2	28067	28622	rna-XM_002087821.4	LOC6526754
qry::NC_052527.2	28719	29589	rna-XM_002087822.4	LOC6526755
qry::NC_052527.2	29603	29976	gene-LOC120320555	LOC120320555
qry::NC_052527.2	30053	30514	rna-XM_015199162.3	LOC26535629
qry::NC_052527.2	30587	31027	rna-XM_015199081.3	LOC26534965
qry::NC_052527.2	31177	31614	rna-XM_015199221.3	LOC26536219
qry::NC_052527.2	31802	32203	rna-XM_015199194.2	LOC26535989
qry::NC_052527.2	32258	32759	rna-XM_002087823.4	LOC6526756
