seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	1557	2199	rna-NM_001170265.1	CG5024
ref::NT_033777.3	1557	2236	rna-NM_143174.2	CG5024
ref::NT_033777.3	2372	3595	rna-NM_001170266.1	Acam
ref::NT_033777.3	2372	3595	rna-NM_143175.2	CG17770
ref::NT_033777.3	3000	3595	rna-NM_057640.3	Acam
ref::NT_033777.3	5940	7035	rna-NM_143176.2	CG14354
ref::NT_033777.3	14167	15672	rna-NR_125255.1	lncRNA:CR44949
ref::NT_033777.3	19782	20159	rna-NM_079774.4	Mst57Dc
ref::NT_033777.3	20522	20689	rna-NM_001170267.2	Sfp96F
ref::NT_033777.3	21181	21375	rna-NM_079775.5	Mst57Db
ref::NT_033777.3	22036	22360	rna-NM_080167.4	Mst57Da
ref::NT_033777.3	22691	33339	rna-NM_143177.4	alpha4GT2
qry::NC_052530.2	372	2082	rna-XM_002098948.3	LOC6538460
qry::NC_052530.2	3000	3186	rna-XM_015193371.3	LOC26535571
qry::NC_052530.2	3610	3796	rna-XM_039375703.1	LOC120321788
qry::NC_052530.2	4405	8398	rna-XR_005561509.2	LOC120321789
qry::NC_052530.2	11294	12649	rna-XR_005561508.2	LOC26535997
qry::NC_052530.2	18198	19364	rna-XM_002098950.4	LOC6538462
qry::NC_052530.2	21736	22380	rna-XM_002098951.3	LOC6538463
qry::NC_052530.2	22245	23006	rna-XM_002098952.3	LOC6538464
qry::NC_052530.2	23036	23883	rna-XM_002098953.4	LOC6538465
