seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	56	rna-NM_001103644.3	RapGAP1
ref::NT_033779.5	3000	4347	rna-NM_001273280.1	Spn28B
ref::NT_033779.5	3000	4409	rna-NM_135284.3	Spn28B
ref::NT_033779.5	16580	18576	rna-NR_190044.1	lncRNA:CR46535
ref::NT_033779.5	25319	25639	rna-NR_124133.1	lncRNA:CR45370
ref::NT_033779.5	26676	28777	rna-NM_135285.3	Cyp4d21
ref::NT_033779.5	29465	37609	rna-NM_001273281.1	CG6739
ref::NT_033779.5	29465	37609	rna-NM_135286.2	CG6739
qry::NC_052520.2	2998	4417	rna-XR_006542053.1	LOC6731366
qry::NC_052520.2	3000	4417	rna-XM_016179717.3	LOC6731366
qry::NC_052520.2	26534	28552	rna-XM_002078485.4	LOC6731367
qry::NC_052520.2	29320	36614	rna-XM_016169036.3	LOC6739224
qry::NC_052520.2	29324	37449	rna-XM_016169034.3	LOC6739224
