seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2940	rna-NM_079990.3	Sara
ref::NT_033778.4	3000	11357	rna-NM_001299751.1	Fkbp14
ref::NT_033778.4	3000	12607	rna-NM_001299750.1	Fkbp14
ref::NT_033778.4	3000	13043	rna-NM_001259519.2	Fkbp14
ref::NT_033778.4	3000	13043	rna-NM_057625.5	Fkbp14
ref::NT_033778.4	3000	13762	rna-NM_166452.3	Fkbp14
ref::NT_033778.4	14414	14651	rna-NM_001382134.1	CG46395
ref::NT_033778.4	14736	17565	rna-NM_137741.5	TAF1C-like
ref::NT_033778.4	17930	28558	rna-NM_166456.3	MESK2
ref::NT_033778.4	17930	28558	rna-NM_206194.2	MESK2
ref::NT_033778.4	17930	29415	rna-NM_166455.2	MESK2
ref::NT_033778.4	17930	30827	rna-NM_079080.3	MESK2
ref::NT_033778.4	17930	30827	rna-NM_166454.2	MESK2
ref::NT_033778.4	17930	30827	rna-NM_206190.2	MESK2
ref::NT_033778.4	17930	33074	rna-NM_206192.2	MESK2
ref::NT_033778.4	17930	33074	rna-NM_206193.2	MESK2
ref::NT_033778.4	21980	30827	rna-NM_206191.2	MESK2
qry::NC_052528.2	0	13886	rna-XM_015196403.2	LOC6530617
qry::NC_052528.2	0	13886	rna-XM_015196409.2	LOC6530617
qry::NC_052528.2	0	13886	rna-XM_015196410.2	LOC6530617
qry::NC_052528.2	0	13888	rna-XM_015196406.2	LOC6530617
qry::NC_052528.2	0	13888	rna-XM_015196408.3	LOC6530617
qry::NC_052528.2	0	13889	rna-XM_039372303.1	LOC6530617
qry::NC_052528.2	872	13887	rna-XM_002091494.3	LOC6530617
qry::NC_052528.2	872	13887	rna-XM_015196405.3	LOC6530617
qry::NC_052528.2	872	13887	rna-XM_039372306.2	LOC6530617
qry::NC_052528.2	872	13888	rna-XM_039372304.1	LOC6530617
qry::NC_052528.2	3000	13888	rna-XM_015196402.2	LOC6530617
qry::NC_052528.2	3000	13888	rna-XM_015196404.2	LOC6530617
qry::NC_052528.2	3000	13888	rna-XM_039372305.1	LOC6530617
qry::NC_052528.2	14164	17093	rna-XM_002091495.4	LOC6530618
qry::NC_052528.2	17138	17400	rna-XM_039372308.2	LOC120321043
qry::NC_052528.2	18804	29041	rna-XM_015197238.2	LOC6530619
qry::NC_052528.2	20714	29041	rna-XM_002091496.3	LOC6530619
qry::NC_052528.2	29093	34368	rna-XM_002091497.4	LOC6530620
