seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	185	rna-NR_124530.1	lncRNA:CR44453
ref::NT_033778.4	1148	2893	rna-NM_136976.2	Cyp9h1
ref::NT_033778.4	3000	5039	rna-NM_078997.3	Or49b
ref::NT_033778.4	5879	6931	rna-NM_001201988.1	CG17575
ref::NT_033778.4	5879	6931	rna-NM_136977.2	CG17575
ref::NT_033778.4	7183	8339	rna-NM_001259355.1	antr
ref::NT_033778.4	7183	8339	rna-NM_165952.3	antr
ref::NT_033778.4	8369	9328	rna-NM_165953.5	CG30486
ref::NT_033778.4	8474	9630	rna-NR_124531.1	asRNA:CR45468
ref::NT_033778.4	9693	11283	rna-NM_001259357.2	CG17574
ref::NT_033778.4	9693	11678	rna-NM_001414064.1	CG17574
ref::NT_033778.4	9693	11917	rna-NM_001259356.1	CG17574
ref::NT_033778.4	9693	13875	rna-NM_001259358.2	CG17574
ref::NT_033778.4	9693	15696	rna-NM_001103822.4	CG17574
ref::NT_033778.4	9693	17083	rna-NM_001103824.1	CG17574
ref::NT_033778.4	9693	17988	rna-NM_001382039.1	CG17574
ref::NT_033778.4	9693	18324	rna-NM_001299435.1	CG17574
ref::NT_033778.4	9693	18575	rna-NM_001382037.1	CG17574
ref::NT_033778.4	9693	22333	rna-NM_001103823.4	CG17574
ref::NT_033778.4	9693	28651	rna-NM_001382038.1	CG17574
ref::NT_033778.4	9693	29758	rna-NM_001273997.1	CG17574
ref::NT_033778.4	9693	29758	rna-NM_136978.5	CG17574
qry::NC_052521.2	728	2546	rna-XM_016182210.2	LOC6734226
qry::NC_052521.2	3000	4590	rna-XM_002081220.4	LOC6734227
qry::NC_052521.2	5885	6971	rna-XM_002081221.3	LOC6734228
qry::NC_052521.2	5885	6971	rna-XM_016182209.3	LOC6734228
qry::NC_052521.2	7220	8405	rna-XM_016182208.3	LOC6734229
qry::NC_052521.2	8373	9611	rna-XM_002081223.4	LOC6734230
qry::NC_052521.2	9473	9921	rna-XR_001600591.3	LOC27207829
qry::NC_052521.2	9751	11294	rna-XM_016182207.3	LOC6734231
qry::NC_052521.2	9751	11613	rna-XM_016182204.3	LOC6734231
qry::NC_052521.2	9751	11923	rna-XM_002081224.4	LOC6734231
qry::NC_052521.2	9751	13476	rna-XM_016182205.3	LOC6734231
qry::NC_052521.2	9751	13760	rna-XM_016182202.3	LOC6734231
qry::NC_052521.2	9751	15516	rna-XM_016182201.3	LOC6734231
qry::NC_052521.2	9751	17081	rna-XM_016182203.3	LOC6734231
qry::NC_052521.2	9751	18267	rna-XM_016182206.3	LOC6734231
