seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	4173	rna-NM_001299692.1	CG44569
ref::NT_033778.4	20200	20600	rna-NR_124632.1	lncRNA:CR44570
ref::NT_033778.4	20700	21200	rna-NR_124633.1	lncRNA:CR44571
ref::NT_033778.4	25222	29219	rna-NM_001202051.1	Obp56i
ref::NT_033778.4	28593	29219	rna-NM_166376.2	Obp56i
ref::NT_033778.4	29250	30000	rna-NR_124634.1	lncRNA:CR44460
ref::NT_033778.4	39341	41425	rna-NM_137605.3	CG13872
qry::NC_052528.2	0	344	rna-XR_005560676.2	LOC120321108
qry::NC_052528.2	3000	5090	rna-XM_002091699.4	LOC6530856
qry::NC_052528.2	15573	16204	rna-XM_002091700.3	LOC6530857
qry::NC_052528.2	16316	21585	rna-XR_005560674.1	LOC120321107
qry::NC_052528.2	16316	24805	rna-XR_005560675.1	LOC120321107
qry::NC_052528.2	41825	43690	rna-XM_039372783.1	LOC120321127
