seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2139	rna-NM_001274716.1	CG6761
ref::NT_037436.4	0	2264	rna-NM_140089.1	CG6761
ref::NT_037436.4	3000	8378	rna-NM_140090.2	CG16711
ref::NT_037436.4	3000	8998	rna-NM_168361.2	CG16711
ref::NT_037436.4	9091	12496	rna-NM_140091.4	SH3PX1
ref::NT_037436.4	12993	16385	rna-NM_001274717.1	vsg
ref::NT_037436.4	12993	16385	rna-NM_140092.2	vsg
ref::NT_037436.4	12993	16385	rna-NM_168362.2	vsg
ref::NT_037436.4	12993	16385	rna-NM_168363.2	vsg
ref::NT_037436.4	12993	16385	rna-NM_168364.2	vsg
ref::NT_037436.4	15472	15544	rna-NR_002482.1	sncRNA:838
ref::NT_037436.4	16455	17732	rna-NM_001274718.1	CG18178
ref::NT_037436.4	16455	17813	rna-NM_140093.2	CG18178
ref::NT_037436.4	17997	19133	rna-NM_140094.2	CG14174
ref::NT_037436.4	19083	21863	rna-NM_001259773.2	nbs
ref::NT_037436.4	19083	21863	rna-NM_143716.5	nbs
qry::NC_052529.2	0	779	rna-XM_002093222.4	LOC6532512
qry::NC_052529.2	1004	2317	rna-XM_002093223.3	LOC6532513
qry::NC_052529.2	3000	5887	rna-XM_002093224.3	LOC6532514
qry::NC_052529.2	6282	9698	rna-XM_002093225.3	LOC6532515
qry::NC_052529.2	11251	15722	rna-XM_002093226.4	LOC6532516
qry::NC_052529.2	16270	19452	rna-XM_002093227.3	LOC6532517
