seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	31992	rna-NM_001103605.2	Drgx
ref::NT_033779.5	3000	32369	rna-NM_001298663.1	Drgx
ref::NT_033779.5	8232	8806	rna-NM_001169388.2	Sfp24Ba
ref::NT_033779.5	8946	9389	rna-NM_001169389.1	Sfp24Bd
ref::NT_033779.5	9516	10030	rna-NM_001169390.1	Sfp24Bb
ref::NT_033779.5	10386	10836	rna-NM_001169391.1	Sfp24Bc
ref::NT_033779.5	32378	32842	rna-NM_001298664.1	CG16704
ref::NT_033779.5	32393	32842	rna-NM_134953.4	CG16704
ref::NT_033779.5	32954	33437	rna-NM_134954.2	CG3513
ref::NT_033779.5	33439	34160	rna-NM_001258928.2	Acp24A4
ref::NT_033779.5	33734	34144	rna-NM_001042865.1	Acp24A4
ref::NT_033779.5	34360	34673	gene-Dmel_CR43364	CR43364
ref::NT_033779.5	34686	35275	rna-NM_001258929.2	CG43165
ref::NT_033779.5	35287	35666	rna-NM_134955.3	CG16713
qry::NC_052527.2	3000	33508	rna-XM_015197968.3	LOC6526752
qry::NC_052527.2	8428	9038	rna-XM_015199243.3	LOC26536346
qry::NC_052527.2	9233	9725	rna-XM_015199214.3	LOC26536126
qry::NC_052527.2	9851	10369	rna-XM_015199032.3	LOC26534534
qry::NC_052527.2	10704	11178	rna-XM_015199121.3	LOC26535289
qry::NC_052527.2	33495	34050	rna-XM_002087821.4	LOC6526754
qry::NC_052527.2	34147	35017	rna-XM_002087822.4	LOC6526755
qry::NC_052527.2	35031	35404	gene-LOC120320555	LOC120320555
qry::NC_052527.2	35481	35942	rna-XM_015199162.3	LOC26535629
qry::NC_052527.2	36015	36455	rna-XM_015199081.3	LOC26534965
