seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	10447	rna-NM_001260448.2	CanA1
ref::NT_033777.3	3000	10447	rna-NM_001260449.2	CanA1
ref::NT_033777.3	3000	10447	rna-NM_079861.4	CanA1
ref::NT_033777.3	8017	8731	rna-NM_001032043.1	CG33920
ref::NT_033777.3	8921	9187	gene-Dmel_CR46406	CR46406
ref::NT_033777.3	12555	16166	rna-NM_079862.3	Alp4
ref::NT_033777.3	13435	16166	rna-NM_170534.2	Alp4
ref::NT_033777.3	14724	14829	rna-NR_048518.1	mir-4948
ref::NT_033777.3	14749	14770	rna-gnl|FlyBase|CR43547-RB	mir-4948
ref::NT_033777.3	14785	14806	rna-gnl|FlyBase|CR43547-RA	mir-4948
ref::NT_033777.3	16242	17541	rna-NM_143581.3	Chchd3
ref::NT_033777.3	17711	24836	rna-NM_001276203.1	dco
ref::NT_033777.3	18812	24399	rna-NM_001369991.1	dco
ref::NT_033777.3	18812	24836	rna-NM_079863.3	dco
ref::NT_033777.3	18812	24836	rna-NM_170535.2	dco
ref::NT_033777.3	18812	24836	rna-NM_170536.3	dco
qry::NC_052530.2	3000	7669	rna-XR_005561836.2	LOC6538959
qry::NC_052530.2	3000	11392	rna-XM_015193646.3	LOC6538959
qry::NC_052530.2	3000	11392	rna-XM_015193647.3	LOC6538959
qry::NC_052530.2	8518	9353	rna-XM_002099427.4	LOC6538960
qry::NC_052530.2	9525	10332	rna-XM_015193648.2	LOC26534826
qry::NC_052530.2	13318	16991	rna-XM_015193649.3	LOC6538961
qry::NC_052530.2	13319	16991	rna-XM_002099428.4	LOC6538961
qry::NC_052530.2	17060	18439	rna-XM_002099429.4	LOC6538962
qry::NC_052530.2	19529	25924	rna-XM_002099430.4	LOC6538963
qry::NC_052530.2	19529	25946	rna-XM_015193650.3	LOC6538963
qry::NC_052530.2	19529	25946	rna-XM_015193652.3	LOC6538963
