seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	22729	rna-NM_001298713.1	rau
ref::NT_033779.5	3000	22729	rna-NM_135121.3	rau
ref::NT_033779.5	26972	27576	rna-NM_001298714.1	CG44574
ref::NT_033779.5	27581	28005	rna-NM_001169421.2	Sfp26Ac
ref::NT_033779.5	28119	28722	rna-NM_001298715.1	CG43185
ref::NT_033779.5	28163	28688	rna-NM_001258972.1	CG43185
ref::NT_033779.5	29233	29840	rna-NM_001298716.1	CG9029
ref::NT_033779.5	29233	29840	rna-NM_135122.3	CG9029
ref::NT_033779.5	30435	31220	rna-NR_124104.1	lncRNA:CR44577
ref::NT_033779.5	30745	31220	rna-NR_124105.1	lncRNA:CR44577
ref::NT_033779.5	31380	31715	rna-NR_124106.1	lncRNA:CR44578
qry::NC_052527.2	1520	4423	rna-XR_005560020.2	LOC120320526
qry::NC_052527.2	3000	3706	rna-XM_002089134.3	LOC6528103
qry::NC_052527.2	4173	4851	rna-XM_015199046.3	LOC26534632
qry::NC_052527.2	4936	5425	rna-XM_015199131.3	LOC26535386
qry::NC_052527.2	4948	5425	rna-XM_015199132.3	LOC26535386
qry::NC_052527.2	5413	6062	rna-XM_015199095.2	LOC26535069
qry::NC_052527.2	10381	30466	rna-XM_002089135.4	LOC6528104
