seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	51921	rna-NM_001259651.3	Mrtf
ref::NT_037436.4	4800	47555	rna-NM_001144407.4	Mrtf
ref::NT_037436.4	5074	20065	rna-NM_001144406.3	Mrtf
ref::NT_037436.4	25135	25613	rna-NM_079168.3	Acp62F
ref::NT_037436.4	52384	53777	rna-NM_139488.4	Non2
ref::NT_037436.4	53851	57710	rna-NM_139489.2	AhcyL1
ref::NT_037436.4	57945	59392	rna-NM_139490.2	CG12093
ref::NT_037436.4	59723	66062	rna-NM_001274412.1	Atg2
ref::NT_037436.4	59723	66062	rna-NM_139491.2	Atg2
qry::NC_052522.2	3000	42387	rna-XM_016170344.3	LOC6736522
qry::NC_052522.2	24452	24985	rna-XM_002083357.4	LOC6736523
qry::NC_052522.2	47054	48486	rna-XM_016170714.3	LOC27206273
qry::NC_052522.2	48548	52583	rna-XM_002083359.4	LOC6736525
qry::NC_052522.2	48548	52583	rna-XM_016170342.3	LOC6736525
qry::NC_052522.2	52720	54233	rna-XM_002083360.4	LOC6736526
qry::NC_052522.2	52720	54234	rna-XM_044922827.1	LOC6736526
qry::NC_052522.2	54566	60934	rna-XM_016170715.3	LOC6736527
qry::NC_052522.2	54566	60934	rna-XM_016170716.3	LOC6736527
