seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	990	rna-NM_170130.3	twin
ref::NT_033777.3	0	439	rna-NM_170128.2	twin
ref::NT_033777.3	0	1520	rna-NM_170129.3	twin
ref::NT_033777.3	0	1520	rna-NM_176555.2	twin
ref::NT_033777.3	0	990	rna-NM_170131.3	twin
ref::NT_033777.3	658	3083	rna-NM_170134.2	cav
ref::NT_033777.3	658	3083	rna-NM_170135.2	cav
ref::NT_033777.3	1086	3083	rna-NM_079753.4	cav
ref::NT_033777.3	1797	3083	rna-NM_170133.2	cav
ref::NT_033777.3	3000	6489	rna-NM_001275973.1	Spps
ref::NT_033777.3	3000	6489	rna-NM_142975.3	Spps
ref::NT_033777.3	6578	8093	rna-NM_142976.5	CG13609
ref::NT_033777.3	7897	9590	rna-NM_001260350.2	Spase22-23
ref::NT_033777.3	8530	8834	rna-NM_080159.3	Acp95EF
ref::NT_033777.3	8861	9590	rna-NM_142977.5	Spase22-23
ref::NT_033777.3	9453	10919	rna-NR_125241.1	lncRNA:CR45217
ref::NT_033777.3	9453	10919	rna-NR_125242.1	lncRNA:CR45217
ref::NT_033777.3	10117	28408	rna-NM_176557.2	mask
ref::NT_033777.3	10117	29803	rna-NM_001260351.1	mask
ref::NT_033777.3	10117	29803	rna-NM_001275975.1	mask
ref::NT_033777.3	10117	29803	rna-NM_176556.2	mask
ref::NT_033777.3	10741	11274	rna-NR_074057.1	lncRNA:CR44092
qry::NC_052523.2	0	769	rna-XM_016174806.3	LOC6729368
qry::NC_052523.2	0	769	rna-XM_044923452.1	LOC6729368
qry::NC_052523.2	0	770	rna-XM_016174803.3	LOC6729368
qry::NC_052523.2	0	873	rna-XM_044923451.1	LOC6729368
qry::NC_052523.2	0	1549	rna-XM_016174805.3	LOC6729368
qry::NC_052523.2	1025	3101	rna-XM_039295899.2	LOC6729369
qry::NC_052523.2	1168	3101	rna-XM_016177376.3	LOC6729369
qry::NC_052523.2	3000	6544	rna-XM_002104650.4	LOC6729370
qry::NC_052523.2	6566	8155	rna-XM_002104651.4	LOC6729371
qry::NC_052523.2	8448	8866	rna-XM_016177377.3	LOC6729372
qry::NC_052523.2	8894	9641	rna-XM_002104653.4	LOC6729373
qry::NC_052523.2	10097	29389	rna-XM_039295891.2	LOC6729375
qry::NC_052523.2	10288	29389	rna-XM_044923450.1	LOC6729375
qry::NC_052523.2	11246	29389	rna-XM_039295887.1	LOC6729375
qry::NC_052523.2	11246	29389	rna-XM_039295888.1	LOC6729375
qry::NC_052523.2	11246	29389	rna-XM_039295889.1	LOC6729375
qry::NC_052523.2	11246	29389	rna-XM_039295890.1	LOC6729375
