seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	1454	rna-NM_138019.3	PPP1R15
ref::NT_033778.4	3000	9376	rna-NM_001299872.1	Sox14
ref::NT_033778.4	3298	9376	rna-NM_057546.3	Sox14
ref::NT_033778.4	4094	9376	rna-NM_134290.1	Sox14
ref::NT_033778.4	9374	12654	rna-NM_057877.4	Phm
ref::NT_033778.4	9538	12654	rna-NM_166644.2	Phm
ref::NT_033778.4	10814	11507	rna-NM_166645.3	CG30178
ref::NT_033778.4	12937	16248	rna-NM_138020.3	Pask
ref::NT_033778.4	16337	19254	rna-NM_001299873.1	CG3860
ref::NT_033778.4	16337	19254	rna-NM_138021.3	CG3860
ref::NT_033778.4	17253	17313	rna-NR_048197.1	mir-1009
ref::NT_033778.4	17253	17275	rna-gnl|FlyBase|CR42994-RA	mir-1009
qry::NC_052521.2	0	586	rna-XM_002082857.4	LOC6735984
qry::NC_052521.2	909	2062	rna-XR_006541509.1	LOC123327049
qry::NC_052521.2	909	2861	rna-XR_006541510.1	LOC123327049
qry::NC_052521.2	3000	8578	rna-XM_016172230.3	LOC6739507
qry::NC_052521.2	4151	4836	rna-XR_006541511.1	LOC123327050
qry::NC_052521.2	8716	11850	rna-XM_016181256.3	LOC6735986
qry::NC_052521.2	10002	10682	rna-XM_039291660.2	LOC27207757
qry::NC_052521.2	11951	15432	rna-XM_016168849.3	LOC6735987
qry::NC_052521.2	11960	15432	rna-XM_002082860.4	LOC6735987
qry::NC_052521.2	15505	18464	rna-XM_016181255.3	LOC6735988
qry::NC_052521.2	15505	18464	rna-XM_039291657.2	LOC6735988
