seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1642	rna-NM_142047.4	flfl
ref::NT_033777.3	1790	3250	rna-NM_142048.2	CG14367
ref::NT_033777.3	3000	6306	rna-NM_001104304.2	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275616.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275617.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275618.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_142049.3	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001104302.2	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001104303.2	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001275615.1	f-cup
ref::NT_033777.3	3000	8575	rna-NM_169550.2	f-cup
ref::NT_033777.3	8302	10901	rna-NM_142050.3	ninaB
ref::NT_033777.3	10821	13139	rna-NM_079621.3	Adgf-D
ref::NT_033777.3	14494	16866	rna-NM_142051.3	Adgf-C
ref::NT_033777.3	16896	17676	rna-NM_169551.4	Argp
ref::NT_033777.3	17754	18560	rna-NM_001032015.2	primo-1
ref::NT_033777.3	17754	19572	rna-NM_001032016.2	primo-1
ref::NT_033777.3	17754	19572	rna-NM_001032017.2	primo-2
ref::NT_033777.3	20206	21941	rna-NR_048384.2	lncRNA:CR34044
qry::NC_052530.2	0	1117	rna-XM_015192558.3	LOC6536991
qry::NC_052530.2	0	1117	rna-XM_002097524.4	LOC6536991
qry::NC_052530.2	0	1117	rna-XM_039376326.2	LOC6536991
qry::NC_052530.2	1263	3261	rna-XM_002097525.4	LOC6536992
qry::NC_052530.2	3000	6491	rna-XM_015192559.3	LOC6536993
qry::NC_052530.2	3000	6495	rna-XM_015192560.3	LOC6536993
qry::NC_052530.2	3000	8617	rna-XM_002097526.3	LOC6536993
qry::NC_052530.2	3000	8617	rna-XM_015192562.2	LOC6536993
qry::NC_052530.2	3745	8617	rna-XR_005561689.1	LOC6536993
qry::NC_052530.2	4181	6499	rna-XM_015192561.2	LOC6536993
qry::NC_052530.2	8506	11074	rna-XM_002097527.4	LOC6536994
qry::NC_052530.2	10988	13433	rna-XM_002097528.4	LOC6536995
qry::NC_052530.2	10988	13434	rna-XM_015192563.3	LOC6536995
qry::NC_052530.2	14127	16942	rna-XM_002097529.3	LOC6536996
qry::NC_052530.2	16924	17843	rna-XM_002097530.4	LOC6536997
qry::NC_052530.2	17803	18814	rna-XM_039376338.2	LOC6536998
qry::NC_052530.2	18722	19863	rna-XM_002097532.4	LOC6536999
