seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2659	rna-NM_137418.3	CG5002
ref::NT_033778.4	3000	5867	rna-NM_137419.3	Sardh
ref::NT_033778.4	6850	9962	rna-NM_057954.3	HLH54F
ref::NT_033778.4	10385	13986	rna-NM_137420.3	ACOX1
ref::NT_033778.4	14019	16515	rna-NM_001299620.1	OstDelta
ref::NT_033778.4	14019	16515	rna-NM_137421.3	OstDelta
ref::NT_033778.4	15838	15905	rna-NR_048133.1	mir-3643
ref::NT_033778.4	15850	15871	rna-gnl|FlyBase|CR43509-RB	mir-3643
ref::NT_033778.4	15884	15905	rna-gnl|FlyBase|CR43509-RA	mir-3643
ref::NT_033778.4	16310	16590	rna-NR_124602.2	asRNA:CR44416
ref::NT_033778.4	16610	17231	rna-NM_137422.3	CG14488
ref::NT_033778.4	17253	19434	rna-NM_137423.2	CG18635
qry::NC_052528.2	0	2160	rna-XM_002091987.3	LOC6531195
qry::NC_052528.2	2090	2722	rna-XM_002091988.3	LOC6531196
qry::NC_052528.2	3000	5454	rna-XM_002091989.3	LOC6531197
qry::NC_052528.2	5470	9120	rna-XM_002091990.4	LOC6531198
qry::NC_052528.2	9518	12582	rna-XM_002091991.4	LOC6531199
qry::NC_052528.2	13471	16366	rna-XM_002091992.4	LOC6531200
qry::NC_052528.2	16693	19647	rna-XM_002091993.4	LOC6531201
