seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	1528	2057	rna-NR_123964.1	lncRNA:CR45465
ref::NC_004354.4	1722	2262	rna-NR_123965.1	lncRNA:CR45465
ref::NC_004354.4	3000	5684	rna-NM_001258849.2	obst-A
ref::NC_004354.4	3000	6354	rna-NM_134534.3	obst-A
ref::NC_004354.4	7792	11342	rna-NM_078694.3	Peritrophin-A
ref::NC_004354.4	7792	11342	rna-NM_167694.2	Peritrophin-A
ref::NC_004354.4	7792	11348	rna-NM_001258850.2	Peritrophin-A
ref::NC_004354.4	11454	14238	rna-NM_134535.3	CG17068
ref::NC_004354.4	14483	17836	rna-NM_078695.4	Rab10
ref::NC_004354.4	17837	20276	rna-NM_001169334.1	CG17065
ref::NC_004354.4	17837	20276	rna-NM_134536.3	CG17065
ref::NC_004354.4	17837	20344	rna-NM_001298559.1	CG17065
ref::NC_004354.4	22384	22801	rna-NM_001169335.2	CG42577
qry::NC_052525.2	0	1	rna-XM_016172317.3	LOC6726503
qry::NC_052525.2	0	1	rna-XM_016172327.3	LOC6726503
qry::NC_052525.2	0	1	rna-XM_016172332.3	LOC6726503
qry::NC_052525.2	0	1	rna-XM_016172334.3	LOC6726503
qry::NC_052525.2	0	1	rna-XM_016172335.3	LOC6726503
qry::NC_052525.2	0	1	rna-XM_016172340.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172316.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172318.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172319.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172320.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172321.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172322.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172323.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172325.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172328.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172329.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172330.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172331.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172333.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172337.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172338.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_016172339.3	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297592.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297594.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297595.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297596.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297597.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297598.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297599.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297600.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297601.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297602.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_039297603.2	LOC6726503
qry::NC_052525.2	0	2	rna-XM_044923643.1	LOC6726503
qry::NC_052525.2	0	3	rna-XM_016172326.3	LOC6726503
qry::NC_052525.2	3000	6225	rna-XM_016183762.3	LOC27208149
qry::NC_052525.2	3000	6225	rna-XM_016183763.3	LOC27208149
qry::NC_052525.2	7386	10496	rna-XM_016174205.3	LOC6726504
qry::NC_052525.2	10589	13352	rna-XM_039297591.2	LOC6726505
qry::NC_052525.2	13566	16825	rna-XM_016174206.3	LOC6726506
qry::NC_052525.2	16901	18080	rna-XM_039297607.2	LOC27208923
qry::NC_052525.2	16901	19258	rna-XM_039297605.2	LOC27208923
qry::NC_052525.2	17351	19261	rna-XM_044923644.1	LOC27208923
qry::NC_052525.2	21330	22670	rna-XM_039297398.2	LOC27207193
qry::NC_052525.2	21338	22670	rna-XM_016182927.3	LOC27207193
