seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2870	rna-NM_140494.2	CG13457
ref::NT_037436.4	0	2870	rna-NM_168610.2	CG13457
ref::NT_037436.4	3000	7849	rna-NM_168611.1	CG12316
ref::NT_037436.4	3000	8426	rna-NM_140495.2	CG12316
ref::NT_037436.4	6042	6152	rna-NR_002487.1	scaRNA:MeU5-U42
ref::NT_037436.4	9230	14084	rna-NM_079355.3	Pdi
ref::NT_037436.4	9230	14332	rna-NM_001300141.1	Pdi
ref::NT_037436.4	13623	14292	rna-NR_124943.1	asRNA:CR45396
ref::NT_037436.4	14555	15551	rna-NM_168616.2	CG32147
ref::NT_037436.4	15293	15662	rna-NR_124944.1	asRNA:CR45397
ref::NT_037436.4	15847	17538	rna-NM_140496.3	Pex3
ref::NT_037436.4	15847	17871	rna-NM_001274942.1	Pex3
qry::NC_052522.2	0	2924	rna-XM_002084894.4	LOC6738116
qry::NC_052522.2	3000	8461	rna-XM_016169502.3	LOC6738117
qry::NC_052522.2	3000	8461	rna-XM_039293688.2	LOC6738117
qry::NC_052522.2	9228	14102	rna-XM_002084896.4	LOC6738119
qry::NC_052522.2	10987	12809	rna-XM_039293692.2	LOC120284780
qry::NC_052522.2	13385	14076	rna-XR_005544014.2	LOC120284781
qry::NC_052522.2	13970	15582	rna-XM_002084897.4	LOC6738120
qry::NC_052522.2	15774	17901	rna-XM_016171507.3	LOC6738121
qry::NC_052522.2	17537	21983	rna-XR_006541769.1	LOC123327214
