seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	767	1207	rna-NM_001298665.1	IM33
ref::NT_033779.5	789	1207	rna-NM_134956.4	IM33
ref::NT_033779.5	1791	2361	rna-NM_134957.3	CG3604
ref::NT_033779.5	1791	2421	rna-NM_001298666.1	CG3604
ref::NT_033779.5	3000	3641	rna-NM_134958.4	CG10031
ref::NT_033779.5	4013	4375	rna-NM_001169392.2	CG42464
ref::NT_033779.5	4744	5207	rna-NM_001169393.2	CG42465
ref::NT_033779.5	5223	5641	rna-NM_001169394.2	Sfp24C1
ref::NT_033779.5	5839	6248	rna-NM_001169395.3	CG42467
ref::NT_033779.5	6375	6797	rna-NM_001258930.2	CG43145
ref::NT_033779.5	7163	7496	rna-NR_124056.1	lncRNA:CR44311
ref::NT_033779.5	8208	8802	rna-NM_134959.2	CG2816
ref::NT_033779.5	8655	10037	rna-NM_164549.2	CG31778
ref::NT_033779.5	8874	10037	rna-NM_001298667.1	CG31778
qry::NC_052527.2	0	60	rna-XM_002087824.3	LOC6526757
qry::NC_052527.2	629	1067	rna-XM_002087825.4	LOC6526758
qry::NC_052527.2	1786	2382	rna-XM_002087826.4	LOC6526759
qry::NC_052527.2	3000	3727	rna-XM_002087827.3	LOC6526760
qry::NC_052527.2	4045	4600	rna-XM_015199186.2	LOC26535872
qry::NC_052527.2	4658	5056	rna-XM_015199139.3	LOC26535454
qry::NC_052527.2	6434	6881	rna-XM_015199031.3	LOC26534528
qry::NC_052527.2	7059	7548	rna-XM_015199202.3	LOC26536073
qry::NC_052527.2	8325	8709	rna-XM_015199073.2	LOC26534859
qry::NC_052527.2	9233	9726	rna-XM_002087828.4	LOC6526761
qry::NC_052527.2	9861	11174	rna-XM_002087829.3	LOC6526762
