seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2916	rna-NM_141661.2	CG8312
ref::NT_033777.3	0	2916	rna-NM_001275498.1	CG8312
ref::NT_033777.3	0	2916	rna-NM_001275499.1	CG8312
ref::NT_033777.3	787	2916	rna-NM_176438.2	CG8312
ref::NT_033777.3	3000	4319	rna-NM_141662.3	CG9427
ref::NT_033777.3	3000	4773	rna-NM_001275500.1	CG9427
ref::NT_033777.3	5164	6519	rna-NM_141663.4	CG8319
ref::NT_033777.3	6534	8694	rna-NM_001275501.1	Calr
ref::NT_033777.3	6781	8694	rna-NM_079569.5	Calr
ref::NT_033777.3	8098	8283	rna-NR_163208.1	sisRNA:CR46357
ref::NT_033777.3	9484	11516	rna-NM_169298.3	SpdS
ref::NT_033777.3	9514	11030	rna-NM_001260076.2	SpdS
ref::NT_033777.3	9514	11030	rna-NM_141664.5	SpdS
ref::NT_033777.3	9878	10919	rna-NR_125123.1	asRNA:CR45053
ref::NT_033777.3	9878	10919	rna-NR_125124.1	asRNA:CR45053
ref::NT_033777.3	11202	15454	rna-NM_169299.2	Scm
ref::NT_033777.3	11504	15454	rna-NM_001260077.2	Scm
qry::NC_052523.2	0	2792	rna-XM_016177108.3	LOC6728753
qry::NC_052523.2	3000	4446	rna-XM_016175053.2	LOC6728754
qry::NC_052523.2	3000	4523	rna-XM_016175054.3	LOC6728754
qry::NC_052523.2	5302	7219	rna-XM_002104054.4	LOC6728755
qry::NC_052523.2	7445	8918	rna-XM_002104055.4	LOC6728756
qry::NC_052523.2	9219	11091	rna-XM_016177109.3	LOC6728757
qry::NC_052523.2	9688	11091	rna-XM_002104056.4	LOC6728757
qry::NC_052523.2	11175	14907	rna-XM_016175052.3	LOC6728758
qry::NC_052523.2	11175	15761	rna-XM_016175048.3	LOC6728758
qry::NC_052523.2	11175	15761	rna-XM_016175049.3	LOC6728758
qry::NC_052523.2	11175	44815	rna-XM_016175051.3	LOC6728758
