seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	71	1200	rna-NM_166374.4	Obp56c
ref::NT_033778.4	71	1200	rna-NM_206180.2	Obp56c
ref::NT_033778.4	3000	3991	rna-NM_001299690.1	Obp56d
ref::NT_033778.4	3215	3875	rna-NM_137600.3	Obp56d
ref::NT_033778.4	12171	12925	rna-NR_124630.1	asRNA:CR44509
ref::NT_033778.4	12421	13008	rna-NM_001299691.1	Obp56e
ref::NT_033778.4	12421	13008	rna-NM_137601.4	Obp56e
ref::NT_033778.4	13471	14052	rna-NM_166375.3	Obp56f
ref::NT_033778.4	14152	14944	rna-NM_137602.4	CG8517
ref::NT_033778.4	15641	15714	rna-Dmel_CR30215	tRNA:Ile-AAT-1-9
qry::NC_052521.2	0	963	rna-XM_016181513.2	LOC6735303
qry::NC_052521.2	3000	3653	rna-XM_002076339.4	LOC6739475
qry::NC_052521.2	12113	12716	rna-XM_002082228.3	LOC6735304
qry::NC_052521.2	13000	13750	rna-XM_016168529.3	LOC6735305
qry::NC_052521.2	13804	14495	rna-XM_002082230.4	LOC6735306
qry::NC_052521.2	15402	15475	rna-Trnai-aau-9	Trnai-aau
