seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	19871	rna-NM_168153.2	PVRAP
ref::NT_037436.4	3000	4575	rna-NM_139750.2	alphaKap4
ref::NT_037436.4	26753	28165	rna-NM_139753.2	CG10477
ref::NT_037436.4	27075	28165	rna-NM_001316456.1	CG10477
ref::NT_037436.4	28770	29729	rna-NM_079220.2	yip7
ref::NT_037436.4	30044	30469	rna-NR_124806.1	lncRNA:CR43952
ref::NT_037436.4	30665	31742	rna-NM_139754.2	CG6462
ref::NT_037436.4	32709	33689	rna-NM_139755.3	Jon65Aiv
qry::NC_052529.2	0	21420	rna-XM_002093827.4	LOC6533137
qry::NC_052529.2	0	21420	rna-XM_015194337.3	LOC6533137
qry::NC_052529.2	3000	5742	rna-XM_002093826.4	LOC6533136
qry::NC_052529.2	28679	29652	rna-XM_002093828.3	LOC6533138
qry::NC_052529.2	30041	31001	rna-XM_002093829.3	LOC6533139
qry::NC_052529.2	31809	32755	rna-XM_002093830.3	LOC6533140
qry::NC_052529.2	32880	35170	rna-XM_002093831.3	LOC6533141
qry::NC_052529.2	32880	35170	rna-XM_039373931.1	LOC6533141
qry::NC_052529.2	35993	36969	rna-XM_002093832.3	LOC6533142
qry::NC_052529.2	40336	41342	rna-XR_005561104.2	LOC120321474
qry::NC_052529.2	45296	46235	rna-XM_002093833.4	LOC6533143
qry::NC_052529.2	46594	47487	rna-XM_002093834.2	LOC6533144
qry::NC_052529.2	49119	49976	rna-XM_002093835.4	LOC6533145
