seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	539	rna-NM_001038886.3	CG34038
ref::NT_033778.4	0	539	rna-NM_001259590.1	CG34038
ref::NT_033778.4	2929	3379	rna-NM_001169830.1	Sfp60F
ref::NT_033778.4	3000	3372	rna-NM_001299949.1	Sfp60F
ref::NT_033778.4	4252	4914	rna-NM_001299950.1	EbpII
ref::NT_033778.4	4481	4914	rna-NM_079142.4	EbpII
ref::NT_033778.4	5810	7399	rna-NM_001274249.1	Ebp
ref::NT_033778.4	6137	7399	rna-NM_138151.3	Ebp
ref::NT_033778.4	14312	19492	rna-NM_001043106.2	CG9380
ref::NT_033778.4	15810	19492	rna-NM_166707.2	CG9380
ref::NT_033778.4	15810	20808	rna-NM_001274251.1	CG9380
ref::NT_033778.4	15810	86002	rna-NM_001274250.1	CG9380
qry::NC_052521.2	0	612	rna-XM_016168957.3	LOC6736181
qry::NC_052521.2	0	612	rna-XM_016168956.3	LOC6736181
qry::NC_052521.2	3000	3403	rna-XM_016183361.3	LOC27207673
qry::NC_052521.2	4469	4937	rna-XM_002083041.4	LOC6736182
qry::NC_052521.2	6034	7582	rna-XM_016181164.3	LOC6736183
qry::NC_052521.2	13955	19109	rna-XM_039292032.2	LOC6736184
qry::NC_052521.2	15430	19164	rna-XM_002083043.4	LOC6736184
