seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	2750	3504	rna-NR_124630.1	asRNA:CR44509
ref::NT_033778.4	3000	3587	rna-NM_001299691.1	Obp56e
ref::NT_033778.4	3000	3587	rna-NM_137601.4	Obp56e
ref::NT_033778.4	4050	4631	rna-NM_166375.3	Obp56f
ref::NT_033778.4	4731	5523	rna-NM_137602.4	CG8517
ref::NT_033778.4	6220	6293	rna-Dmel_CR30215	tRNA:Ile-AAT-1-9
qry::NC_052521.2	3000	3603	rna-XM_002082228.3	LOC6735304
qry::NC_052521.2	3887	4637	rna-XM_016168529.3	LOC6735305
qry::NC_052521.2	4691	5382	rna-XM_002082230.4	LOC6735306
qry::NC_052521.2	6289	6362	rna-Trnai-aau-9	Trnai-aau
