seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	4437	rna-NM_168164.3	Or65b
ref::NT_037436.4	4996	6457	rna-NM_168165.2	Or65c
ref::NT_037436.4	6712	29778	rna-NM_139786.3	CG13300
ref::NT_037436.4	27664	28217	rna-NM_001169882.1	Sfp65A
ref::NT_037436.4	47361	47979	rna-NR_124814.1	lncRNA:CR45419
ref::NT_037436.4	54094	54585	rna-NR_133178.1	lncRNA:CR45980
ref::NT_037436.4	77978	163352	rna-NM_139788.3	CG42747
ref::NT_037436.4	163555	165812	rna-NM_001274548.1	CG10147
ref::NT_037436.4	163985	165812	rna-NM_139789.2	CG10147
ref::NT_037436.4	166069	168598	rna-NM_139790.3	Bulli
qry::NC_052522.2	3000	4563	rna-XM_002083823.4	LOC6737012
qry::NC_052522.2	4897	6418	rna-XM_002083824.3	LOC6737013
qry::NC_052522.2	6637	29118	rna-XM_016170105.3	LOC6737014
qry::NC_052522.2	17796	27092	gene-LOC120284723	LOC120284723
qry::NC_052522.2	25732	26281	rna-XR_006541710.1	LOC123327180
qry::NC_052522.2	27022	27548	rna-XM_016182938.2	LOC27207208
qry::NC_052522.2	53447	55230	rna-XR_006541777.1	LOC123327217
qry::NC_052522.2	76968	135577	rna-XM_016170946.2	LOC6737020
qry::NC_052522.2	135557	138125	rna-XM_016170102.3	LOC6737021
qry::NC_052522.2	138333	140855	rna-XM_016170947.3	LOC6737022
