seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	244	rna-NM_079466.3	CSN3
ref::NT_037436.4	655	2254	rna-NM_001275201.1	CG11456
ref::NT_037436.4	655	3008	rna-NM_001170013.2	CG11456
ref::NT_037436.4	655	3008	rna-NM_141008.2	CG11456
ref::NT_037436.4	3000	43856	rna-NM_001275202.1	CG32432
ref::NT_037436.4	3000	43856	rna-NM_141009.3	CG32432
ref::NT_037436.4	45674	46670	rna-NR_125026.1	lncRNA:CR44686
ref::NT_037436.4	54936	56085	rna-NM_001300205.1	Sfp77F
ref::NT_037436.4	55710	56085	rna-NM_001170014.2	Sfp77F
ref::NT_037436.4	56225	57169	rna-NM_001275203.1	CG43931
qry::NC_052529.2	3000	3460	rna-XM_039374188.2	LOC26536090
qry::NC_052529.2	3613	3972	rna-XM_039374187.2	LOC26535311
qry::NC_052529.2	15467	57446	rna-XM_039374062.2	LOC26536190
qry::NC_052529.2	15467	57446	rna-XM_039374063.2	LOC26536190
qry::NC_052529.2	15468	57446	rna-XR_005561117.2	LOC26536190
qry::NC_052529.2	57464	59450	rna-XM_002095363.4	LOC6534724
qry::NC_052529.2	59547	62026	rna-XM_002095364.4	LOC6534725
