seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	410	627	rna-NR_124108.1	lncRNA:CR45288
ref::NT_033779.5	2372	2961	rna-NR_124109.1	lncRNA:CR45289
ref::NT_033779.5	2623	2961	rna-NR_124110.1	lncRNA:CR45289
ref::NT_033779.5	3000	3681	rna-NM_001273181.2	Sfp26Ad
ref::NT_033779.5	3157	3661	rna-NM_001169422.3	Sfp26Ad
ref::NT_033779.5	4020	7994	rna-NM_001273182.1	Gpdh1
ref::NT_033779.5	4020	9220	rna-NM_001273183.2	Gpdh1
ref::NT_033779.5	4020	9345	rna-NM_001273184.2	Gpdh1
ref::NT_033779.5	4342	8249	rna-NM_057219.4	Gpdh1
ref::NT_033779.5	4342	8690	rna-NM_057217.4	Gpdh1
ref::NT_033779.5	4342	9220	rna-NM_057218.4	Gpdh1
ref::NT_033779.5	8024	8774	rna-NR_124111.1	lncRNA:CR44986
ref::NT_033779.5	9827	15612	rna-NM_001273185.1	CG9044
ref::NT_033779.5	9827	15612	rna-NM_135127.3	CG9044
qry::NC_052520.2	3000	3508	rna-XM_016183254.2	LOC27207569
qry::NC_052520.2	3844	8642	rna-XM_002078253.4	LOC6731131
qry::NC_052520.2	3844	8989	rna-XM_016179628.2	LOC6731131
qry::NC_052520.2	8645	9570	rna-XR_006541648.1	LOC123327147
qry::NC_052520.2	9591	15392	rna-XM_016179629.3	LOC6731132
qry::NC_052520.2	9591	15392	rna-XM_016179630.3	LOC6731132
