seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	24955	rna-NM_206288.4	CG42458
ref::NT_037436.4	3000	5428	rna-NM_001274588.2	Rac2
ref::NT_037436.4	4130	5428	rna-NM_139864.3	Rac2
ref::NT_037436.4	7046	7704	rna-NM_139865.2	CG14835
ref::NT_037436.4	8659	9643	rna-NM_168214.2	sphinx1
ref::NT_037436.4	9792	10971	rna-NM_001316479.1	sphinx2
ref::NT_037436.4	9937	10971	rna-NM_168215.2	sphinx2
ref::NT_037436.4	21091	22397	rna-NM_206289.2	CG33278
qry::NC_052522.2	0	25026	rna-XM_016171011.3	LOC6737142
qry::NC_052522.2	3000	5556	rna-XM_016170051.3	LOC27206242
qry::NC_052522.2	7154	7865	rna-XM_016170050.1	LOC6737140
qry::NC_052522.2	8743	9769	rna-XM_016182845.3	LOC27207099
qry::NC_052522.2	10104	11159	rna-XM_016170049.3	LOC6737141
qry::NC_052522.2	21109	22445	rna-XM_002083954.4	LOC6737143
