seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1727	rna-NM_141801.3	Arfip
ref::NT_033777.3	1854	2791	rna-NM_141802.2	CG17721
ref::NT_033777.3	2097	2791	rna-NM_001260111.1	CG17721
ref::NT_033777.3	2097	2791	rna-NM_001260112.1	CG17721
ref::NT_033777.3	3000	4338	rna-NM_001300354.1	CG31441
ref::NT_033777.3	3000	4338	rna-NM_169382.2	CG31441
ref::NT_033777.3	4529	6828	rna-NM_001260113.1	CG31388
ref::NT_033777.3	4529	6828	rna-NM_141803.3	CG31388
ref::NT_033777.3	6755	7705	rna-NM_141804.2	scpr-B
ref::NT_033777.3	7897	8834	rna-NM_141805.2	scpr-A
ref::NT_033777.3	8922	10713	rna-NM_001260114.2	CG17734
ref::NT_033777.3	8922	10713	rna-NM_141806.4	CG17734
ref::NT_033777.3	8922	10713	rna-NM_169383.3	CG17734
ref::NT_033777.3	11016	13576	rna-NM_141807.2	CG5214
qry::NC_052523.2	125	2730	rna-XM_002103846.4	LOC6728537
qry::NC_052523.2	3000	4791	rna-XM_002103847.4	LOC6728538
qry::NC_052523.2	4868	5766	rna-XM_016183486.3	LOC27207841
qry::NC_052523.2	5913	6755	rna-XM_016183764.3	LOC27208152
qry::NC_052523.2	6994	7608	rna-XM_016182605.3	LOC27206801
qry::NC_052523.2	7760	8761	rna-XM_039294920.2	LOC6728539
qry::NC_052523.2	8905	9883	rna-XM_039294921.2	LOC120284980
qry::NC_052523.2	9806	11483	rna-XM_016176989.2	LOC6728548
qry::NC_052523.2	9806	12217	rna-XM_002103857.4	LOC6728548
qry::NC_052523.2	10916	12220	rna-XR_001599937.3	LOC6728548
qry::NC_052523.2	12403	13618	rna-XM_002103856.4	LOC6728547
qry::NC_052523.2	12403	13622	rna-XM_039294918.2	LOC6728547
qry::NC_052523.2	13638	14505	rna-XM_002103855.4	LOC6728546
qry::NC_052523.2	14693	17279	rna-XM_002103854.4	LOC6728545
