seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1727	rna-NM_141801.3	Arfip
ref::NT_033777.3	1854	2791	rna-NM_141802.2	CG17721
ref::NT_033777.3	2097	2791	rna-NM_001260111.1	CG17721
ref::NT_033777.3	2097	2791	rna-NM_001260112.1	CG17721
ref::NT_033777.3	3000	4338	rna-NM_001300354.1	CG31441
ref::NT_033777.3	3000	4338	rna-NM_169382.2	CG31441
ref::NT_033777.3	4529	6828	rna-NM_001260113.1	CG31388
ref::NT_033777.3	4529	6828	rna-NM_141803.3	CG31388
ref::NT_033777.3	6755	7705	rna-NM_141804.2	scpr-B
ref::NT_033777.3	7897	8834	rna-NM_141805.2	scpr-A
ref::NT_033777.3	8922	10713	rna-NM_001260114.2	CG17734
ref::NT_033777.3	8922	10713	rna-NM_141806.4	CG17734
ref::NT_033777.3	8922	10713	rna-NM_169383.3	CG17734
ref::NT_033777.3	11016	13576	rna-NM_141807.2	CG5214
qry::NC_052530.2	0	1488	rna-XM_002097153.3	LOC6536617
qry::NC_052530.2	1775	2686	rna-XM_002097154.4	LOC6536618
qry::NC_052530.2	3000	4288	rna-XM_002097155.4	LOC6536619
qry::NC_052530.2	4428	5765	rna-XR_006245216.1	LOC6536620
qry::NC_052530.2	4431	6840	rna-XM_002097156.4	LOC6536620
qry::NC_052530.2	6763	7740	rna-XM_002097157.3	LOC6536621
qry::NC_052530.2	7895	8866	rna-XM_002097158.4	LOC6536622
qry::NC_052530.2	8928	10808	rna-XM_002097159.4	LOC6536623
qry::NC_052530.2	11131	13879	rna-XM_002097160.4	LOC6536624
