seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	12079	rna-NM_001299324.1	CG1648
ref::NT_033778.4	3345	4800	rna-NM_165696.2	CG1648
ref::NT_033778.4	3345	12079	rna-NM_136674.3	CG1648
ref::NT_033778.4	7536	8626	rna-NM_001169631.1	lectin-46Cb
ref::NT_033778.4	9326	10561	rna-NM_144376.2	lectin-46Ca
ref::NT_033778.4	12589	13212	rna-NM_001038848.2	CG34033
ref::NT_033778.4	13194	14981	rna-NM_165697.4	CG30001
ref::NT_033778.4	15108	19232	rna-NM_001144157.3	dila
ref::NT_033778.4	15108	19232	rna-NM_001299325.1	dila
ref::NT_033778.4	15108	19232	rna-NM_136675.3	dila
qry::NC_052527.2	3000	4892	rna-XM_015198772.2	LOC6528806
qry::NC_052527.2	3000	12265	rna-XM_002089802.3	LOC6528806
qry::NC_052527.2	3000	12266	rna-XM_039370602.1	LOC6528806
qry::NC_052527.2	7524	8680	rna-XM_002089803.4	LOC6528807
qry::NC_052527.2	9438	10652	rna-XM_002089804.4	LOC6528808
qry::NC_052527.2	12825	13489	rna-XM_002089805.4	LOC6528809
qry::NC_052527.2	13465	15265	rna-XM_002089806.3	LOC6528810
qry::NC_052527.2	15390	19738	rna-XM_002089807.3	LOC6528811
