seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	76	rna-NM_137622.3	CG11788
ref::NT_033778.4	0	2849	rna-NM_137623.3	CG9143
ref::NT_033778.4	3000	4543	rna-NM_001299700.1	Mpcp1
ref::NT_033778.4	3000	4871	rna-NM_001299699.1	Mpcp1
ref::NT_033778.4	3000	5061	rna-NM_137624.2	Mpcp1
ref::NT_033778.4	5563	11028	rna-NM_137625.2	CG16868
ref::NT_033778.4	11530	12280	rna-NM_001103910.2	CG34199
ref::NT_033778.4	12305	15879	rna-NM_137626.3	Cpr56F
ref::NT_033778.4	13479	14484	rna-NM_058059.4	CkIIbeta2
ref::NT_033778.4	16479	16929	rna-NR_124650.1	lncRNA:CR44638
ref::NT_033778.4	17829	18629	rna-NR_124651.1	lncRNA:CR44639
qry::NC_052528.2	268	2912	rna-XR_005560665.2	LOC120321105
qry::NC_052528.2	3000	6517	rna-XM_002091668.4	LOC6530821
qry::NC_052528.2	4430	5348	rna-XM_002091669.4	LOC6530822
qry::NC_052528.2	6659	7433	rna-XM_039372341.1	LOC6530823
qry::NC_052528.2	7849	13339	rna-XM_002091671.3	LOC6530824
qry::NC_052528.2	13711	15790	rna-XM_002091672.3	LOC6530825
qry::NC_052528.2	15952	18885	rna-XM_002091673.3	LOC6530826
qry::NC_052528.2	18699	20234	rna-XM_002091674.3	LOC6530827
