seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	3000	5728	rna-NM_001298218.1	CG1806
ref::NC_004354.4	3000	5728	rna-NM_132545.3	CG1806
ref::NC_004354.4	5535	8035	rna-NM_001316624.1	CG1492
ref::NC_004354.4	5824	8035	rna-NM_132546.3	CG1492
ref::NC_004354.4	8201	12882	rna-NM_167314.2	regucalcin
ref::NC_004354.4	10248	12882	rna-NM_132547.3	regucalcin
ref::NC_004354.4	11307	12882	rna-NM_167316.2	regucalcin
ref::NC_004354.4	11307	13199	rna-NM_167315.2	regucalcin
ref::NC_004354.4	13049	13785	rna-NM_001298219.1	Chrac-16
ref::NC_004354.4	13101	13785	rna-NM_132548.3	Chrac-16
ref::NC_004354.4	14464	16543	rna-NM_132549.3	Lsm12a
qry::NC_052525.2	3000	5649	rna-XM_039296372.2	LOC27207333
qry::NC_052525.2	5471	7915	rna-XM_002106709.4	LOC6725745
qry::NC_052525.2	8048	12634	rna-XM_016173788.3	LOC6725746
qry::NC_052525.2	9970	12634	rna-XM_016173787.2	LOC6725746
qry::NC_052525.2	11022	12634	rna-XM_002106710.4	LOC6725746
qry::NC_052525.2	12865	13578	rna-XM_002106711.4	LOC6725747
qry::NC_052525.2	14597	16650	rna-XM_002106712.4	LOC6725748
