seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2291	rna-NM_001276100.1	NSD
ref::NT_033777.3	0	2291	rna-NM_170360.2	NSD
ref::NT_033777.3	2683	7216	rna-NM_143342.2	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001170280.2	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001276101.1	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001276102.1	BOD1
ref::NT_033777.3	3000	7216	rna-NM_170361.3	BOD1
ref::NT_033777.3	7234	12459	rna-NM_143343.3	mfrn
ref::NT_033777.3	13149	16589	rna-NM_143344.3	Gp93
ref::NT_033777.3	16489	18550	rna-NM_001104480.2	CG4951
ref::NT_033777.3	17140	18550	rna-NM_143345.2	CG4951
ref::NT_033777.3	19355	21764	rna-NM_143346.3	Nep7
ref::NT_033777.3	21794	23683	rna-NM_001170281.3	CG42487
ref::NT_033777.3	21794	23683	rna-NM_001300643.1	CG4884
ref::NT_033777.3	21822	22584	rna-NM_143347.3	CG4884
ref::NT_033777.3	23784	25011	rna-NM_170362.3	CG31253
qry::NC_052523.2	0	2414	rna-XM_016174541.3	LOC6729900
qry::NC_052523.2	3000	7284	rna-XM_016172091.3	LOC6739785
qry::NC_052523.2	3001	7284	rna-XM_016172087.3	LOC6739785
qry::NC_052523.2	3001	7284	rna-XM_016172088.3	LOC6739785
qry::NC_052523.2	3001	7284	rna-XM_016172089.3	LOC6739785
qry::NC_052523.2	3001	7284	rna-XM_016172090.3	LOC6739785
qry::NC_052523.2	7295	12552	rna-XM_002105168.4	LOC6729902
qry::NC_052523.2	13209	16638	rna-XM_002105169.3	LOC6729903
qry::NC_052523.2	16530	18687	rna-XM_016174540.3	LOC6729905
qry::NC_052523.2	19409	21835	rna-XM_016177689.3	LOC6729906
qry::NC_052523.2	21851	22628	rna-XM_039295100.2	LOC120284205
qry::NC_052523.2	22718	23817	rna-XM_044923409.1	LOC27207021
qry::NC_052523.2	23878	25237	rna-XM_016174538.3	LOC6729909
