seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	32982	rna-NM_079963.4	hbs
ref::NT_033778.4	3000	32982	rna-NM_176175.2	hbs
ref::NT_033778.4	3000	33738	rna-NM_001299510.1	hbs
ref::NT_033778.4	4651	5126	rna-NM_001259400.2	CG43101
ref::NT_033778.4	15979	16443	rna-NM_166079.2	Obp51a
ref::NT_033778.4	16708	17269	rna-NR_124554.1	lncRNA:CR45256
ref::NT_033778.4	41379	41959	rna-NR_048115.1	lncRNA:CR43622
ref::NT_033778.4	47107	47845	rna-NM_001299511.1	CG33467
ref::NT_033778.4	47107	47845	rna-NM_206118.1	CG33467
qry::NC_052528.2	3000	44124	rna-XM_002091356.3	LOC6530477
qry::NC_052528.2	3000	44124	rna-XM_015197194.2	LOC6530477
qry::NC_052528.2	8190	8700	rna-XM_002091357.4	LOC6530478
qry::NC_052528.2	9064	9666	rna-XM_015197440.3	LOC26535714
qry::NC_052528.2	16567	20899	rna-XR_006245132.1	LOC122319520
qry::NC_052528.2	57726	58573	rna-XM_002091358.2	LOC6530479
qry::NC_052528.2	59013	59491	rna-XR_001454221.3	LOC26534887
