seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1003	rna-NM_167166.4	Ppt1
ref::NC_004354.4	0	1184	rna-NM_001298095.2	Ppt1
ref::NC_004354.4	1284	2768	rna-NM_132271.5	Ogg1
ref::NC_004354.4	2777	4577	rna-NM_001272423.2	CG11294
ref::NC_004354.4	3000	4577	rna-NM_132272.3	CG11294
ref::NC_004354.4	18170	18963	rna-NR_123837.1	lncRNA:CR44507
ref::NC_004354.4	18931	19141	rna-NR_123838.2	lncRNA:CR44508
ref::NC_004354.4	20609	23435	rna-NM_080342.4	Hexo2
ref::NC_004354.4	23429	25130	rna-NM_001272428.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_001272425.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_001272426.1	CG2004
ref::NC_004354.4	23429	25620	rna-NM_132273.2	CG2004
ref::NC_004354.4	23429	25881	rna-NM_001272424.2	CG2004
ref::NC_004354.4	25893	28022	rna-NM_132274.3	CG1785
ref::NC_004354.4	27670	31234	rna-NM_001298096.1	l(1)G0020
ref::NC_004354.4	27670	31234	rna-NM_132275.2	l(1)G0020
qry::NC_052526.2	0	787	rna-XM_039375003.2	LOC6525273
qry::NC_052526.2	0	876	rna-XM_002101073.4	LOC6525273
qry::NC_052526.2	785	2645	rna-XM_002101074.4	LOC6525274
qry::NC_052526.2	3000	5178	rna-XM_002101075.4	LOC6525275
qry::NC_052526.2	5213	8457	rna-XM_039375016.2	LOC6525276
qry::NC_052526.2	21877	24117	rna-XM_002101077.3	LOC6525277
qry::NC_052526.2	22619	24117	rna-XM_015190719.2	LOC6525277
qry::NC_052526.2	24193	25563	rna-XM_002101078.3	LOC6525278
qry::NC_052526.2	25924	27506	rna-XM_039376969.2	LOC6525279
qry::NC_052526.2	25926	27577	rna-XM_002101079.3	LOC6525279
