seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	3000	13010	rna-NM_001298460.1	unc-4
ref::NC_004354.4	3000	13010	rna-NM_001298461.1	unc-4
ref::NC_004354.4	3000	13139	rna-NM_133014.3	unc-4
ref::NC_004354.4	25441	48442	rna-NM_078665.3	OdsH
ref::NC_004354.4	53586	54116	rna-NM_133015.2	CG12986
ref::NC_004354.4	55195	61995	rna-NM_001272733.2	Socs16D
ref::NC_004354.4	55206	61951	rna-NM_078666.4	Socs16D
ref::NC_004354.4	62527	65525	rna-NR_123934.1	lncRNA:CR44691
qry::NC_052525.2	3000	11782	rna-XR_005544528.1	LOC27206675
qry::NC_052525.2	3000	13316	rna-XM_016182480.2	LOC27206675
qry::NC_052525.2	24294	47612	rna-XM_039296813.2	LOC6726299
qry::NC_052525.2	27438	47612	rna-XM_016174122.3	LOC6726299
qry::NC_052525.2	52847	53483	rna-XM_002077026.4	LOC6740181
qry::NC_052525.2	54516	61300	rna-XM_039297067.2	LOC27209208
