seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	1454	rna-NM_138019.3	PPP1R15
ref::NT_033778.4	3000	9376	rna-NM_001299872.1	Sox14
ref::NT_033778.4	3298	9376	rna-NM_057546.3	Sox14
ref::NT_033778.4	4094	9376	rna-NM_134290.1	Sox14
ref::NT_033778.4	9374	12654	rna-NM_057877.4	Phm
ref::NT_033778.4	9538	12654	rna-NM_166644.2	Phm
ref::NT_033778.4	10814	11507	rna-NM_166645.3	CG30178
ref::NT_033778.4	12937	16248	rna-NM_138020.3	Pask
ref::NT_033778.4	16337	19254	rna-NM_001299873.1	CG3860
ref::NT_033778.4	16337	19254	rna-NM_138021.3	CG3860
ref::NT_033778.4	17253	17313	rna-NR_048197.1	mir-1009
ref::NT_033778.4	17253	17275	rna-gnl|FlyBase|CR42994-RA	mir-1009
qry::NC_052528.2	0	1550	rna-XM_002092697.4	LOC6531947
qry::NC_052528.2	3000	9708	rna-XM_002092698.4	LOC6531948
qry::NC_052528.2	9810	13382	rna-XM_002092699.4	LOC6531949
qry::NC_052528.2	11533	12249	rna-XM_002092700.4	LOC6531950
qry::NC_052528.2	13674	16999	rna-XM_002092701.4	LOC6531951
qry::NC_052528.2	13680	16999	rna-XM_039372565.2	LOC6531951
qry::NC_052528.2	17086	19965	rna-XM_015196145.3	LOC6531952
