seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1371	rna-NM_001144653.3	CG31036
ref::NT_033777.3	0	1371	rna-NM_170450.2	CG31036
ref::NT_033777.3	1470	2825	rna-NM_079828.3	Capa
ref::NT_033777.3	3000	8768	rna-NM_001276161.1	trp
ref::NT_033777.3	3000	8768	rna-NM_057420.4	trp
ref::NT_033777.3	10695	11531	rna-NM_170451.3	Jon99Ciii
ref::NT_033777.3	10695	11934	rna-NM_001300669.1	Jon99Ciii
ref::NT_033777.3	12233	13094	rna-NM_079830.4	Jon99Cii
ref::NT_033777.3	13705	14668	rna-NM_079831.4	Jon99Ci
ref::NT_033777.3	15734	17245	rna-NM_001276162.1	CG15522
ref::NT_033777.3	15734	17245	rna-NM_143492.4	CG15522
ref::NT_033777.3	17180	18865	rna-NM_170452.3	alpha-Man-Ic
ref::NT_033777.3	19030	21536	rna-NM_143493.3	Cog7
qry::NC_052530.2	0	1269	rna-XM_002098475.4	LOC6537974
qry::NC_052530.2	1362	3077	rna-XM_015193104.3	LOC26536392
qry::NC_052530.2	3000	4552	rna-XM_039376528.2	LOC6539972
qry::NC_052530.2	3000	4552	rna-XM_039376529.2	LOC6539972
qry::NC_052530.2	3000	4552	rna-XM_039376530.2	LOC6539972
qry::NC_052530.2	5215	6163	rna-XM_015189453.3	LOC26535094
qry::NC_052530.2	6455	7419	rna-XM_002086677.4	LOC6539830
qry::NC_052530.2	8018	8890	rna-XM_015189452.3	LOC26535513
qry::NC_052530.2	9491	10350	rna-XM_015189228.3	LOC26535290
qry::NC_052530.2	12312	18072	rna-XM_002098476.3	LOC6537975
qry::NC_052530.2	18196	19692	rna-XM_002098477.3	LOC6537976
qry::NC_052530.2	19936	24817	rna-XM_002098478.3	LOC6537977
