seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	10447	rna-NM_001260448.2	CanA1
ref::NT_033777.3	3000	10447	rna-NM_001260449.2	CanA1
ref::NT_033777.3	3000	10447	rna-NM_079861.4	CanA1
ref::NT_033777.3	8017	8731	rna-NM_001032043.1	CG33920
ref::NT_033777.3	8921	9187	gene-Dmel_CR46406	CR46406
ref::NT_033777.3	12555	16166	rna-NM_079862.3	Alp4
ref::NT_033777.3	13435	16166	rna-NM_170534.2	Alp4
ref::NT_033777.3	14724	14829	rna-NR_048518.1	mir-4948
ref::NT_033777.3	14749	14770	rna-gnl|FlyBase|CR43547-RB	mir-4948
ref::NT_033777.3	14785	14806	rna-gnl|FlyBase|CR43547-RA	mir-4948
ref::NT_033777.3	16242	17541	rna-NM_143581.3	Chchd3
ref::NT_033777.3	17711	24836	rna-NM_001276203.1	dco
ref::NT_033777.3	18812	24399	rna-NM_001369991.1	dco
ref::NT_033777.3	18812	24836	rna-NM_079863.3	dco
ref::NT_033777.3	18812	24836	rna-NM_170535.2	dco
ref::NT_033777.3	18812	24836	rna-NM_170536.3	dco
qry::NC_052523.2	0	188	rna-XM_044923283.1	LOC6730293
qry::NC_052523.2	3000	7079	rna-XR_005544334.2	LOC6730294
qry::NC_052523.2	3000	10917	rna-XM_016177876.3	LOC6730294
qry::NC_052523.2	3000	10917	rna-XM_039295872.2	LOC6730294
qry::NC_052523.2	7876	8706	rna-XM_016173396.3	LOC6730295
qry::NC_052523.2	8736	10152	rna-XM_039295873.2	LOC6730296
qry::NC_052523.2	12867	16697	rna-XM_002105544.3	LOC6730297
qry::NC_052523.2	16766	18128	rna-XM_016173367.3	LOC6730298
qry::NC_052523.2	19100	22204	rna-XM_016173348.3	LOC27206381
qry::NC_052523.2	19100	25211	rna-XM_016173347.3	LOC27206381
qry::NC_052523.2	19100	25211	rna-XM_016173349.3	LOC27206381
qry::NC_052523.2	19100	25211	rna-XM_016173350.3	LOC27206381
qry::NC_052523.2	19100	25211	rna-XM_016173351.3	LOC27206381
