seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2870	rna-NM_140494.2	CG13457
ref::NT_037436.4	0	2870	rna-NM_168610.2	CG13457
ref::NT_037436.4	3000	7849	rna-NM_168611.1	CG12316
ref::NT_037436.4	3000	8426	rna-NM_140495.2	CG12316
ref::NT_037436.4	6042	6152	rna-NR_002487.1	scaRNA:MeU5-U42
ref::NT_037436.4	9230	14084	rna-NM_079355.3	Pdi
ref::NT_037436.4	9230	14332	rna-NM_001300141.1	Pdi
ref::NT_037436.4	13623	14292	rna-NR_124943.1	asRNA:CR45396
ref::NT_037436.4	14555	15551	rna-NM_168616.2	CG32147
ref::NT_037436.4	15293	15662	rna-NR_124944.1	asRNA:CR45397
ref::NT_037436.4	15847	17538	rna-NM_140496.3	Pex3
ref::NT_037436.4	15847	17871	rna-NM_001274942.1	Pex3
qry::NC_052529.2	0	2875	rna-XM_039374221.2	LOC6534176
qry::NC_052529.2	0	2875	rna-XM_039374222.2	LOC6534176
qry::NC_052529.2	0	2878	rna-XM_039374223.1	LOC6534176
qry::NC_052529.2	3000	8727	rna-XM_002094825.4	LOC6534177
qry::NC_052529.2	11130	16084	rna-XM_002094826.4	LOC6534179
qry::NC_052529.2	16492	17478	rna-XM_002094827.4	LOC6534180
qry::NC_052529.2	19652	35710	rna-XM_002094828.4	LOC6534181
