seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2780	rna-NM_140735.3	Edc3
ref::NT_037436.4	1619	1759	rna-NR_048291.1	snoRNA:Edc3-a
ref::NT_037436.4	2787	3121	rna-NR_124970.1	lncRNA:CR45165
ref::NT_037436.4	2826	3121	rna-NR_124971.1	lncRNA:CR45165
ref::NT_037436.4	3000	19295	rna-NM_001144492.2	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001144493.3	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001275061.1	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_001275062.1	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_168736.4	Nedd4
ref::NT_037436.4	3000	19295	rna-NM_168738.4	Nedd4
ref::NT_037436.4	3000	19579	rna-NM_140736.3	Nedd4
ref::NT_037436.4	6425	19295	rna-NM_168737.2	Nedd4
ref::NT_037436.4	6670	19295	rna-NM_206394.2	Nedd4
ref::NT_037436.4	20996	22046	rna-NM_001202197.1	Jon74E
ref::NT_037436.4	22745	23577	rna-NM_140738.2	CG7542
ref::NT_037436.4	22745	23899	rna-NM_001300170.1	CG7542
ref::NT_037436.4	23923	30707	rna-NM_001275063.2	CycT
ref::NT_037436.4	23923	30707	rna-NM_001275064.2	CycT
ref::NT_037436.4	25428	28750	rna-NM_206395.3	CycT
ref::NT_037436.4	25428	30707	rna-NM_079403.4	CycT
ref::NT_037436.4	31591	49239	rna-NM_001014590.2	Eip74EF
ref::NT_037436.4	33077	49545	rna-NM_168741.2	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_001259887.2	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_168739.3	Eip74EF
ref::NT_037436.4	33077	92244	rna-NM_168740.3	Eip74EF
qry::NC_052522.2	0	2844	rna-XM_002085245.4	LOC6738474
qry::NC_052522.2	3000	19150	rna-XM_016171654.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171656.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171657.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171658.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171659.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171661.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171663.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171665.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171668.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171669.3	LOC6738476
qry::NC_052522.2	3000	19150	rna-XM_016171670.3	LOC6738476
qry::NC_052522.2	3001	19150	rna-XM_016171666.3	LOC6738476
qry::NC_052522.2	3002	19150	rna-XM_016171660.3	LOC6738476
qry::NC_052522.2	3002	19150	rna-XM_016171662.3	LOC6738476
qry::NC_052522.2	6426	19150	rna-XM_016171652.3	LOC6738476
qry::NC_052522.2	6426	19150	rna-XM_016171655.3	LOC6738476
qry::NC_052522.2	6426	19150	rna-XM_016171664.3	LOC6738476
qry::NC_052522.2	6426	19150	rna-XM_016171667.3	LOC6738476
qry::NC_052522.2	6428	19150	rna-XM_016171653.3	LOC6738476
qry::NC_052522.2	19584	20536	rna-XM_016169340.3	LOC6738477
qry::NC_052522.2	22842	23911	rna-XM_016169339.3	LOC6738478
qry::NC_052522.2	24589	25501	rna-XM_016171671.3	LOC27206301
qry::NC_052522.2	25788	32586	rna-XM_002085252.4	LOC6738481
qry::NC_052522.2	25788	32586	rna-XR_001599743.3	LOC6738481
qry::NC_052522.2	34975	51529	rna-XM_039293570.2	LOC6738482
qry::NC_052522.2	34975	77651	rna-XM_016169338.3	LOC6738482
