seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	1272	rna-NM_001103905.3	EndoB
ref::NT_033778.4	0	1272	rna-NM_001103906.3	EndoB
ref::NT_033778.4	0	1272	rna-NM_137566.4	EndoB
ref::NT_033778.4	0	1272	rna-NM_166340.3	EndoB
ref::NT_033778.4	1755	16103	rna-NM_001274158.1	Rgk1
ref::NT_033778.4	3000	16103	rna-NM_137567.3	Rgk1
ref::NT_033778.4	3000	47132	rna-NM_166341.3	Rgk1
ref::NT_033778.4	21496	25795	rna-NM_001038872.2	CG34045
ref::NT_033778.4	32416	35102	rna-NM_001202047.2	fest
ref::NT_033778.4	32416	36361	rna-NM_137568.3	fest
ref::NT_033778.4	48139	52980	rna-NM_137569.4	CG11961
ref::NT_033778.4	48923	52980	rna-NM_166342.2	CG11961
ref::NT_033778.4	48923	53731	rna-NM_001259489.2	CG11961
ref::NT_033778.4	54248	57901	rna-NM_137570.2	CG10051
qry::NC_052528.2	0	1705	rna-XM_002091760.3	LOC6530958
qry::NC_052528.2	3000	7079	rna-XM_015196325.3	LOC6530959
qry::NC_052528.2	3000	8013	rna-XM_002091761.3	LOC6530959
qry::NC_052528.2	19770	55667	rna-XM_039372073.1	LOC6530963
qry::NC_052528.2	19819	55667	rna-XM_039372074.1	LOC6530963
qry::NC_052528.2	20215	24090	rna-XM_002091762.3	LOC6530960
qry::NC_052528.2	31087	35551	rna-XM_002091763.3	LOC6530961
qry::NC_052528.2	40966	55667	rna-XM_015197297.3	LOC6530963
qry::NC_052528.2	40969	55667	rna-XM_002091765.3	LOC6530963
qry::NC_052528.2	55942	59067	rna-XM_015197298.3	LOC6530964
qry::NC_052528.2	55943	58026	rna-XM_039371864.2	LOC6530964
qry::NC_052528.2	55943	59067	rna-XM_015197299.3	LOC6530964
qry::NC_052528.2	55944	58026	rna-XM_039371863.2	LOC6530964
qry::NC_052528.2	55948	59067	rna-XM_015197300.3	LOC6530964
qry::NC_052528.2	55949	59067	rna-XM_002091766.4	LOC6530964
