seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	194	rna-NM_169585.2	CG8087
ref::NT_033777.3	1316	1902	rna-NM_142116.2	CG14852
ref::NT_033777.3	1821	2818	rna-NM_169586.2	CG31313
ref::NT_033777.3	1969	2818	rna-NM_001275639.1	CG31313
ref::NT_033777.3	2133	2818	rna-NM_001275638.1	CG31313
ref::NT_033777.3	3000	4236	rna-NM_142117.2	CG8066
ref::NT_033777.3	3470	4236	rna-NM_001275640.1	CG8066
ref::NT_033777.3	4351	5260	rna-NR_074015.1	asRNA:CR44095
ref::NT_033777.3	4492	5033	rna-NM_057508.4	Cys
ref::NT_033777.3	5861	11276	rna-NM_142118.2	CG7987
ref::NT_033777.3	5861	11276	rna-NM_169587.2	CG7987
ref::NT_033777.3	11720	12000	rna-NM_001275641.1	CG44094
ref::NT_033777.3	12606	43468	rna-NM_001104322.2	stumps
qry::NC_052530.2	0	2397	rna-XM_015192776.3	LOC6537291
qry::NC_052530.2	3000	3528	rna-XM_039375381.1	LOC120321734
qry::NC_052530.2	4088	9530	rna-XM_002097814.3	LOC6537292
qry::NC_052530.2	4094	9530	rna-XM_015192783.2	LOC6537292
qry::NC_052530.2	10444	10987	rna-XM_002097815.3	LOC6537293
qry::NC_052530.2	11198	11806	rna-XM_002097816.4	LOC6537294
qry::NC_052530.2	12582	13262	rna-XM_002097817.4	LOC6537295
qry::NC_052530.2	13645	14573	rna-XM_002097818.4	LOC6537296
