seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1075	rna-NM_001275316.2	TwdlG
ref::NT_033777.3	0	1902	rna-NM_141187.4	TwdlG
ref::NT_033777.3	0	2447	rna-NM_001300226.1	TwdlG
ref::NT_033777.3	3000	4149	rna-NM_001275317.1	CG14644
ref::NT_033777.3	3000	4149	rna-NM_141188.5	CG14644
ref::NT_033777.3	5814	6939	rna-NM_141189.2	TwdlV
ref::NT_033777.3	8078	9550	rna-NM_164323.1	Or82a
ref::NT_033777.3	17876	19422	rna-NM_164325.3	CG1092
ref::NT_033777.3	18058	19422	rna-NM_141190.3	CG1092
ref::NT_033777.3	20327	29034	rna-NM_001104202.2	flip
ref::NT_033777.3	30779	31163	rna-NR_125059.1	lncRNA:CR45597
ref::NT_033777.3	31327	52647	rna-NM_164328.4	cpx
ref::NT_033777.3	31327	55710	rna-NM_001275319.2	cpx
ref::NT_033777.3	31491	52647	rna-NM_001170029.2	cpx
ref::NT_033777.3	31491	52647	rna-NM_001170030.1	cpx
ref::NT_033777.3	31491	52647	rna-NM_164329.3	cpx
ref::NT_033777.3	31491	52647	rna-NM_164331.3	cpx
qry::NC_052530.2	0	1049	rna-XM_002095881.3	LOC6535261
qry::NC_052530.2	0	1050	rna-XM_039375849.1	LOC6535261
qry::NC_052530.2	3000	4179	rna-XM_002095882.3	LOC6535262
qry::NC_052530.2	3291	4179	rna-XM_039375978.2	LOC6535262
qry::NC_052530.2	5764	7717	rna-XM_002095883.4	LOC6535263
qry::NC_052530.2	9570	11470	rna-XM_039376260.1	LOC6535264
qry::NC_052530.2	14809	16181	rna-XM_002095885.4	LOC6535265
qry::NC_052530.2	16622	20654	rna-XM_002095886.3	LOC6535266
