seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	1352	5583	rna-NM_001298800.1	CG7102
ref::NT_033779.5	1541	5583	rna-NM_175980.2	CG7102
ref::NT_033779.5	3000	3520	rna-NM_135318.2	SmE
ref::NT_033779.5	3573	4179	rna-NM_001042879.2	CG34132
ref::NT_033779.5	5763	7199	rna-NM_001042880.1	Spn28Da
ref::NT_033779.5	7358	8774	rna-NM_001370007.1	Spn28Db
ref::NT_033779.5	9257	102266	rna-NM_001103646.4	Snoo
ref::NT_033779.5	10395	96033	rna-NM_135320.3	Snoo
ref::NT_033779.5	10395	102266	rna-NM_001103647.3	Snoo
ref::NT_033779.5	11501	95135	rna-NM_001103645.4	Snoo
ref::NT_033779.5	102016	104855	rna-NM_164776.4	CG7231
ref::NT_033779.5	103345	104855	rna-NM_135323.5	CG7231
ref::NT_033779.5	103353	104855	rna-NM_001259004.1	CG7231
ref::NT_033779.5	103353	104855	rna-NM_205923.3	CG7231
ref::NT_033779.5	104856	112254	rna-NM_164777.3	pes
ref::NT_033779.5	105183	109650	rna-NM_135324.3	pes
ref::NT_033779.5	105183	111286	rna-NM_001298803.1	pes
ref::NT_033779.5	105183	111647	rna-NM_001298802.1	pes
ref::NT_033779.5	105183	112254	rna-NM_001144336.3	pes
qry::NC_052520.2	1539	5585	rna-XM_002078526.4	LOC6731410
qry::NC_052520.2	3000	3517	rna-XM_016184426.3	LOC27208875
qry::NC_052520.2	3594	4171	rna-XM_016184133.3	LOC27208552
qry::NC_052520.2	5737	7153	rna-XM_016178711.3	LOC6731411
qry::NC_052520.2	7258	8783	rna-XM_016178709.2	LOC6731412
qry::NC_052520.2	7258	8783	rna-XM_016178710.2	LOC6731412
qry::NC_052520.2	10267	100425	rna-XM_016178708.3	LOC27206518
qry::NC_052520.2	100939	102991	rna-XM_002078532.4	LOC6731416
qry::NC_052520.2	101445	102991	rna-XM_016179728.2	LOC6731416
qry::NC_052520.2	102981	110498	rna-XM_016168998.3	LOC6739225
