seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	72	rna-NM_132360.2	CG9691
ref::NC_004354.4	0	72	rna-NM_167206.2	CG9691
ref::NC_004354.4	3000	14394	rna-NM_001103459.2	CG15249
ref::NC_004354.4	3000	14613	rna-NM_001103458.2	CG15249
ref::NC_004354.4	23691	26154	rna-NM_001298138.1	CG1986
ref::NC_004354.4	24420	26154	rna-NM_132362.1	CG1986
ref::NC_004354.4	43001	45976	rna-NM_001298139.1	Idgf4
ref::NC_004354.4	43294	45976	rna-NM_078546.4	Idgf4
ref::NC_004354.4	43294	45976	rna-NM_167207.3	Idgf4
ref::NC_004354.4	78481	79906	rna-NM_001103460.1	CG1791
ref::NC_004354.4	78481	79906	rna-NM_001272462.1	CG1791
ref::NC_004354.4	78481	79906	rna-NM_132363.1	CG1791
ref::NC_004354.4	80269	81742	rna-NM_001103461.2	CG1889
ref::NC_004354.4	80269	81742	rna-NM_001272463.1	CG1889
ref::NC_004354.4	80269	81742	rna-NM_167208.3	CG1889
ref::NC_004354.4	80269	81987	rna-NM_132364.4	CG1889
ref::NC_004354.4	81643	85792	rna-NM_132365.3	CG43386
ref::NC_004354.4	82351	85792	rna-NM_132366.4	CG43386
ref::NC_004354.4	82351	92433	rna-NM_001258666.2	CG43386
qry::NC_052526.2	0	151	rna-XM_002101742.3	LOC6525958
qry::NC_052526.2	3000	4295	rna-XM_002101743.4	LOC6525959
qry::NC_052526.2	24995	26851	rna-XM_002101744.3	LOC6525960
qry::NC_052526.2	43908	46725	rna-XM_002101745.3	LOC6525961
qry::NC_052526.2	80052	81506	rna-XM_002101746.4	LOC6525963
qry::NC_052526.2	81937	83765	rna-XM_002101747.4	LOC6525964
qry::NC_052526.2	83366	87836	rna-XM_015191072.3	LOC6525966
qry::NC_052526.2	84120	87806	rna-XM_002101749.4	LOC6525966
qry::NC_052526.2	84120	94755	rna-XM_039374509.1	LOC6525966
