seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	3866	rna-NM_001104486.1	CG34295
ref::NT_033777.3	3905	4844	rna-NM_143376.1	intr
ref::NT_033777.3	20085	20884	rna-NM_144012.3	CheB98a
ref::NT_033777.3	21366	24720	rna-NM_057552.4	wdn
ref::NT_033777.3	25485	30737	rna-NM_001104488.3	Prp39
ref::NT_033777.3	25485	30737	rna-NM_143377.4	Prp39
ref::NT_033777.3	25485	30737	rna-NM_170377.3	Prp39
ref::NT_033777.3	25485	30737	rna-NM_176576.3	Prp39
ref::NT_033777.3	25548	30737	rna-NM_001104487.2	Prp39
ref::NT_033777.3	25951	26024	rna-NR_002503.1	snoRNA:291
ref::NT_033777.3	30725	33051	rna-NM_143378.4	CG1523
ref::NT_033777.3	33604	37891	rna-NM_001276115.1	CG1647
ref::NT_033777.3	33604	37891	rna-NM_143379.3	CG1647
qry::NC_052530.2	0	91	rna-XM_002098635.4	LOC6538136
qry::NC_052530.2	591	3017	rna-XM_002098636.4	LOC6538137
qry::NC_052530.2	3000	6114	rna-XM_039376255.2	LOC6538138
qry::NC_052530.2	3000	8329	rna-XM_002098637.3	LOC6538138
qry::NC_052530.2	4351	8330	rna-XM_015193189.3	LOC6538138
qry::NC_052530.2	9073	12380	rna-XM_002098638.3	LOC6538140
qry::NC_052530.2	12254	13289	rna-XM_002098639.4	LOC6538141
qry::NC_052530.2	12254	13297	rna-XM_039375560.2	LOC6538141
qry::NC_052530.2	13658	14455	rna-XM_002098640.3	LOC6538142
qry::NC_052530.2	21980	25624	rna-XM_002098641.4	LOC6538143
qry::NC_052530.2	25598	26569	rna-XM_015193190.3	LOC26535029
