seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2303	rna-NM_142030.4	GILT1
ref::NT_033777.3	3000	3492	rna-NM_001038962.3	Dpm3
ref::NT_033777.3	3864	5311	rna-NM_142031.4	yellow-e3
ref::NT_033777.3	5550	7439	rna-NM_142032.3	yellow-e2
ref::NT_033777.3	9984	15727	rna-NM_079620.3	yellow-e
ref::NT_033777.3	20720	23581	rna-NM_142033.2	Ir87a
ref::NT_033777.3	26274	26619	rna-NR_125155.1	lncRNA:CR45591
ref::NT_033777.3	26424	28530	rna-NM_057743.5	Act87E
ref::NT_033777.3	26424	28816	rna-NM_001300385.1	Act87E
ref::NT_033777.3	26888	28530	rna-NM_169525.2	Act87E
ref::NT_033777.3	29308	35425	rna-NM_001144572.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_001144573.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_001144574.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_142034.2	yrt
qry::NC_052530.2	0	2384	rna-XM_002097492.4	LOC6536959
qry::NC_052530.2	3000	3451	rna-XM_002097493.4	LOC6536960
qry::NC_052530.2	3436	5375	rna-XM_002097494.4	LOC6536961
qry::NC_052530.2	5582	7519	rna-XM_002097495.3	LOC6536962
qry::NC_052530.2	10211	15783	rna-XM_015192545.2	LOC6536963
qry::NC_052530.2	20720	23599	rna-XM_002097497.3	LOC6536964
qry::NC_052530.2	26309	28376	rna-XM_002097498.4	LOC6536965
qry::NC_052530.2	29328	35516	rna-XM_015192547.3	LOC6536966
qry::NC_052530.2	29328	35517	rna-XM_002097499.4	LOC6536966
qry::NC_052530.2	29328	35518	rna-XM_015192546.3	LOC6536966
