seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	56	909	rna-NM_137372.4	insb
ref::NT_033778.4	56	1114	rna-NM_001299602.1	insb
ref::NT_033778.4	2407	11062	rna-NM_001299603.1	CG43110
ref::NT_033778.4	3000	6960	rna-NM_001299604.1	veil
ref::NT_033778.4	3989	6960	rna-NM_137373.3	veil
ref::NT_033778.4	6840	8894	rna-NM_001259467.2	CG43110
ref::NT_033778.4	9844	18011	rna-NM_137374.3	NT5E-2
ref::NT_033778.4	9844	18011	rna-NM_166232.2	NT5E-2
ref::NT_033778.4	18537	20840	rna-NM_166233.4	CG30103
ref::NT_033778.4	27196	33487	rna-NM_001032264.4	nw
ref::NT_033778.4	27519	32301	rna-NM_001259468.2	nw
ref::NT_033778.4	27519	33487	rna-NM_001032265.4	nw
ref::NT_033778.4	27519	33487	rna-NM_001032266.4	nw
ref::NT_033778.4	27519	33487	rna-NM_001202034.3	nw
ref::NT_033778.4	33837	36236	rna-NM_001299605.1	CG34193
ref::NT_033778.4	34768	35640	rna-NM_001103887.3	CG34193
ref::NT_033778.4	36355	38697	rna-NM_137377.3	CtsK2
qry::NC_052521.2	0	225	rna-XM_002081875.3	LOC6734914
qry::NC_052521.2	3000	6031	rna-XM_016168326.2	LOC6734915
qry::NC_052521.2	5805	8059	rna-XM_016181733.3	LOC6734916
qry::NC_052521.2	9203	12692	rna-XM_016168327.3	LOC6734917
qry::NC_052521.2	13236	14537	rna-XM_039291522.2	LOC6734918
qry::NC_052521.2	13238	15544	rna-XM_002081879.4	LOC6734918
qry::NC_052521.2	13589	15544	rna-XM_016168333.3	LOC6734918
qry::NC_052521.2	22200	28131	rna-XM_016168336.3	LOC6734921
qry::NC_052521.2	22203	28131	rna-XM_016168334.3	LOC6734921
qry::NC_052521.2	25775	28131	rna-XM_016168335.3	LOC6734921
qry::NC_052521.2	28584	30037	rna-XM_002081884.4	LOC6734923
qry::NC_052521.2	31106	33445	rna-XM_016168338.3	LOC6734924
