seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2291	rna-NM_001276100.1	NSD
ref::NT_033777.3	0	2291	rna-NM_170360.2	NSD
ref::NT_033777.3	2683	7216	rna-NM_143342.2	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001170280.2	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001276101.1	BOD1
ref::NT_033777.3	3000	7216	rna-NM_001276102.1	BOD1
ref::NT_033777.3	3000	7216	rna-NM_170361.3	BOD1
ref::NT_033777.3	7234	12459	rna-NM_143343.3	mfrn
ref::NT_033777.3	13149	16589	rna-NM_143344.3	Gp93
ref::NT_033777.3	16489	18550	rna-NM_001104480.2	CG4951
ref::NT_033777.3	17140	18550	rna-NM_143345.2	CG4951
ref::NT_033777.3	19355	21764	rna-NM_143346.3	Nep7
ref::NT_033777.3	21794	23683	rna-NM_001170281.3	CG42487
ref::NT_033777.3	21794	23683	rna-NM_001300643.1	CG4884
ref::NT_033777.3	21822	22584	rna-NM_143347.3	CG4884
ref::NT_033777.3	23784	25011	rna-NM_170362.3	CG31253
qry::NC_052530.2	0	969	rna-XM_002098688.4	LOC6538196
qry::NC_052530.2	1029	2172	rna-XM_002098689.3	LOC6538197
qry::NC_052530.2	2193	2927	rna-XM_002098690.4	LOC6538198
qry::NC_052530.2	3000	5803	rna-XM_002098691.4	LOC6538199
qry::NC_052530.2	6158	8205	rna-XM_002098692.3	LOC6538200
qry::NC_052530.2	6158	8205	rna-XM_015193216.2	LOC6538200
qry::NC_052530.2	8129	11578	rna-XM_002098694.4	LOC6538202
qry::NC_052530.2	12309	17650	rna-XM_002098695.4	LOC6538203
qry::NC_052530.2	13695	14871	rna-XR_005561625.1	LOC120321896
qry::NC_052530.2	13695	14871	rna-XR_005561626.1	LOC120321896
qry::NC_052530.2	17660	21705	rna-XM_002098696.4	LOC6538204
qry::NC_052530.2	17660	21705	rna-XM_039376034.2	LOC6538204
qry::NC_052530.2	17660	21705	rna-XM_039376035.2	LOC6538204
qry::NC_052530.2	17660	21705	rna-XM_039376036.2	LOC6538204
qry::NC_052530.2	17660	21705	rna-XM_039376038.2	LOC6538204
qry::NC_052530.2	22455	27393	rna-XM_002098697.3	LOC6538205
