seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1585	rna-NM_001298477.1	Pgant7
ref::NC_004354.4	0	1471	rna-NM_167623.2	Pgant7
ref::NC_004354.4	0	1471	rna-NM_133073.3	Pgant7
ref::NC_004354.4	1726	2857	rna-NM_133074.3	Xrcc2
ref::NC_004354.4	3000	7004	rna-NM_001298478.1	Wnt5
ref::NC_004354.4	3155	7004	rna-NM_057576.5	Wnt5
ref::NC_004354.4	7482	13936	rna-NM_001298479.1	Ggt-1
ref::NC_004354.4	7482	14120	rna-NM_133075.3	Ggt-1
ref::NC_004354.4	14428	16409	rna-NM_133076.3	CG6470
ref::NC_004354.4	14428	16466	rna-NM_001298480.1	CG6470
ref::NC_004354.4	17027	22044	rna-NM_001272756.1	HisRS
ref::NC_004354.4	17027	22044	rna-NM_001272757.1	HisRS
ref::NC_004354.4	17027	22044	rna-NM_133077.2	HisRS
ref::NC_004354.4	17027	22044	rna-NM_167624.3	HisRS
ref::NC_004354.4	17027	73325	rna-NM_001272759.2	Bx
ref::NC_004354.4	22673	24044	rna-NM_133079.3	CG6481
qry::NC_052525.2	0	1462	rna-XM_016172389.3	LOC6726356
qry::NC_052525.2	1547	2569	rna-XM_002107281.4	LOC6726357
qry::NC_052525.2	3000	6845	rna-XM_039297036.2	LOC6726358
qry::NC_052525.2	7280	13698	rna-XM_016180780.3	LOC6740200
qry::NC_052525.2	14283	16290	rna-XM_039297041.2	LOC6726360
qry::NC_052525.2	16943	21806	rna-XM_016174152.3	LOC6726361
qry::NC_052525.2	16943	71042	rna-XM_044923784.1	LOC6726363
qry::NC_052525.2	16948	21806	rna-XM_016174151.3	LOC6726361
qry::NC_052525.2	16989	21806	rna-XM_016174150.3	LOC6726361
qry::NC_052525.2	22394	23577	rna-XM_016184762.3	LOC27209321
