seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	1894	2457	gene-Dmel_CR43158	CR43158
ref::NT_033779.5	3000	3597	rna-NM_165333.3	CG31680
ref::NT_033779.5	3796	4501	rna-NM_001169552.1	Sfp38D
ref::NT_033779.5	3796	5095	rna-NM_001273702.1	Sfp38D
ref::NT_033779.5	5185	6123	rna-NM_136197.3	CG17470
ref::NT_033779.5	6230	8336	rna-NM_001273703.1	phr6-4
ref::NT_033779.5	6230	8336	rna-NM_001273704.1	phr6-4
ref::NT_033779.5	6230	8670	rna-NM_057840.5	phr6-4
ref::NT_033779.5	6230	8670	rna-NM_165334.3	phr6-4
ref::NT_033779.5	8701	10260	rna-NM_136198.4	CG2608
ref::NT_033779.5	10412	11727	rna-NR_001676.2	Uhg3
ref::NT_033779.5	10412	11727	rna-NR_033154.1	Uhg3
ref::NT_033779.5	10412	11727	rna-NR_033155.1	Uhg3
ref::NT_033779.5	10696	10770	rna-NR_003781.1	snoRNA:Me28S-C2645a
ref::NT_033779.5	10930	11004	rna-NR_003782.1	snoRNA:Me28S-C2645b
ref::NT_033779.5	11161	11235	rna-NR_003783.1	snoRNA:Me28S-C2645c
qry::NC_052528.2	3000	3684	rna-XM_002090785.3	LOC6529857
qry::NC_052528.2	4114	4813	rna-XM_015197415.3	LOC26535437
qry::NC_052528.2	5456	6445	rna-XM_002090786.4	LOC6529858
qry::NC_052528.2	6833	8849	rna-XM_002090787.4	LOC6529859
qry::NC_052528.2	9237	11872	rna-XM_043206894.1	LOC26535527
qry::NC_052528.2	9237	12123	rna-XM_039371888.1	LOC26535527
qry::NC_052528.2	9237	12985	rna-XM_039371887.2	LOC26535527
qry::NC_052528.2	11247	11316	rna-XR_005560916.1	LOC6529861
qry::NC_052528.2	11470	11541	rna-XR_005560918.1	LOC6529862
qry::NC_052528.2	11698	11769	rna-XR_005560919.1	LOC6529863
