seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1564	rna-NM_167268.2	Klp10A
ref::NC_004354.4	0	1919	rna-NM_167267.2	Klp10A
ref::NC_004354.4	0	1919	rna-NM_167269.2	Klp10A
ref::NC_004354.4	0	2259	rna-NM_001298180.1	Klp10A
ref::NC_004354.4	0	2171	rna-NM_132459.4	Klp10A
ref::NC_004354.4	0	2171	rna-NM_167270.2	Klp10A
ref::NC_004354.4	3000	4830	rna-NM_001272510.1	CDK2AP1
ref::NC_004354.4	3000	4830	rna-NM_132460.3	CDK2AP1
ref::NC_004354.4	4749	6379	rna-NR_073647.1	asRNA:CR44054
ref::NC_004354.4	4903	5404	rna-NM_167271.2	ssp7
ref::NC_004354.4	5615	6197	rna-NM_001258688.2	CG15199
ref::NC_004354.4	5615	6976	rna-NM_132461.3	CG15199
ref::NC_004354.4	7682	8701	rna-NM_132462.2	CG15202
ref::NC_004354.4	7682	8896	rna-NM_001258689.1	CG15202
ref::NC_004354.4	9261	9950	rna-NM_132463.3	CG15201
ref::NC_004354.4	9993	11737	rna-NM_143712.4	Ran
ref::NC_004354.4	9993	13721	rna-NM_001298182.1	Ran
ref::NC_004354.4	10460	13721	rna-NM_167272.3	Ran
ref::NC_004354.4	10460	13857	rna-NM_001298183.1	Ran
qry::NC_052526.2	0	1571	rna-XM_002100866.3	LOC6525063
qry::NC_052526.2	1907	2606	rna-XM_002100867.3	LOC6525064
qry::NC_052526.2	3000	4093	rna-XM_002100868.4	LOC6525065
qry::NC_052526.2	3000	4124	rna-XM_039372913.1	LOC6525065
qry::NC_052526.2	4952	5607	rna-XM_002100869.4	LOC6525066
qry::NC_052526.2	5738	6295	rna-XM_002100870.3	LOC6525067
qry::NC_052526.2	6350	8499	rna-XM_002100871.4	LOC6525068
qry::NC_052526.2	9315	14213	rna-XM_015190596.3	LOC6525069
qry::NC_052526.2	9317	17535	rna-XM_002100872.4	LOC6525069
qry::NC_052526.2	9543	17535	rna-XM_039372919.2	LOC6525069
