seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	28329	rna-NM_001274314.1	mwh
ref::NT_037436.4	0	28329	rna-NM_001274315.1	mwh
ref::NT_037436.4	0	424	rna-NM_138237.4	CG9119
ref::NT_037436.4	3000	3485	rna-NM_079158.3	LysB
ref::NT_037436.4	3000	3610	rna-NM_001274316.1	LysB
ref::NT_037436.4	4049	28329	rna-NM_138238.3	mwh
ref::NT_037436.4	6114	6355	gene-Dmel_CR9111	LysC
ref::NT_037436.4	6346	6825	rna-NM_057475.3	LysD
ref::NT_037436.4	8456	9035	rna-NM_057479.3	LysE
ref::NT_037436.4	13711	14325	rna-NM_057480.5	LysP
ref::NT_037436.4	23376	23867	rna-NM_057481.4	LysS
ref::NT_037436.4	28511	29644	rna-NM_001038894.2	CG33965
ref::NT_037436.4	29759	31049	rna-NM_001038895.3	CG33966
ref::NT_037436.4	31101	31331	rna-NR_124751.1	lncRNA:CR45747
qry::NC_052522.2	0	18480	rna-XM_016170590.3	LOC6736295
qry::NC_052522.2	0	18480	rna-XM_016170591.3	LOC6736295
qry::NC_052522.2	0	18480	rna-XM_016170589.2	LOC6736295
qry::NC_052522.2	1618	2124	rna-XM_039293082.2	LOC120284703
qry::NC_052522.2	3000	3496	rna-XM_016182900.3	LOC27207162
qry::NC_052522.2	5122	5703	rna-XM_002083145.4	LOC6736297
qry::NC_052522.2	8058	18480	rna-XM_039293075.2	LOC6736295
qry::NC_052522.2	10250	10816	rna-XM_016182879.2	LOC27207148
qry::NC_052522.2	12163	12671	rna-XM_002076454.4	LOC6739595
qry::NC_052522.2	13494	14001	rna-XM_016182445.3	LOC27206641
qry::NC_052522.2	18571	19830	rna-XM_016184729.3	LOC27209274
qry::NC_052522.2	19893	21185	rna-XM_016170592.3	LOC6736298
qry::NC_052522.2	21471	27735	rna-XM_016170593.3	LOC6736299
