seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	562	rna-NM_135950.3	CG5888
ref::NT_033779.5	0	2601	rna-NM_001259114.2	Idgf2
ref::NT_033779.5	0	2601	rna-NM_057909.5	Idgf2
ref::NT_033779.5	1118	2601	rna-NM_001259113.2	Idgf2
ref::NT_033779.5	3000	5135	rna-NM_165158.1	Idgf3
ref::NT_033779.5	3153	5135	rna-NM_057908.4	Idgf3
ref::NT_033779.5	3153	6631	rna-NM_165157.2	Idgf3
ref::NT_033779.5	3153	7287	rna-NM_001299053.1	Idgf3
ref::NT_033779.5	18605	38091	rna-NM_001014486.3	dac
ref::NT_033779.5	18605	38091	rna-NM_001014487.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165159.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165160.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165161.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165162.3	dac
ref::NT_033779.5	40241	42275	rna-NM_135951.4	Nepl8
qry::NC_052528.2	0	376	rna-XM_002090381.4	LOC6529412
qry::NC_052528.2	0	378	rna-XM_039373417.2	LOC6529412
qry::NC_052528.2	0	2360	rna-XM_002090384.4	LOC6529416
qry::NC_052528.2	3000	5148	rna-XM_002090385.4	LOC6529417
qry::NC_052528.2	19599	39168	rna-XM_002090386.4	LOC6529418
qry::NC_052528.2	19599	39168	rna-XM_015196684.3	LOC6529418
qry::NC_052528.2	19599	39168	rna-XM_039372257.2	LOC6529418
qry::NC_052528.2	19599	39168	rna-XM_039372258.2	LOC6529418
qry::NC_052528.2	19599	39168	rna-XM_039372259.2	LOC6529418
qry::NC_052528.2	41352	43534	rna-XM_039372132.2	LOC6529419
