seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	474	rna-NR_073998.1	lncRNA:CR44135
ref::NT_033777.3	870	2686	rna-NM_141881.2	CG18547
ref::NT_033777.3	3000	4358	rna-NM_141882.3	CG12224
ref::NT_033777.3	5394	6837	rna-NM_141883.2	CG3397
ref::NT_033777.3	7158	12298	rna-NM_001260137.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_079600.3	mfas
ref::NT_033777.3	7158	15611	rna-NM_169444.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176466.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176467.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176468.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176469.2	mfas
ref::NT_033777.3	7158	15611	rna-NM_176470.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176471.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176472.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176473.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176474.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176475.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176476.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176477.1	mfas
ref::NT_033777.3	7158	15611	rna-NM_176478.1	mfas
ref::NT_033777.3	16471	27729	rna-NM_141884.4	Tk
ref::NT_033777.3	16471	27769	rna-NM_001275564.2	Tk
qry::NC_052523.2	0	1862	rna-XM_016176882.2	LOC6728440
qry::NC_052523.2	0	1862	rna-XM_016176883.2	LOC6728440
qry::NC_052523.2	3000	11485	rna-XM_016176889.3	LOC6728441
qry::NC_052523.2	3001	11485	rna-XM_016176884.3	LOC6728441
qry::NC_052523.2	3001	11485	rna-XM_016176886.3	LOC6728441
qry::NC_052523.2	3001	11485	rna-XM_016176891.3	LOC6728441
qry::NC_052523.2	3001	11485	rna-XM_016176892.3	LOC6728441
qry::NC_052523.2	3008	11485	rna-XM_016176885.3	LOC6728441
qry::NC_052523.2	3009	11485	rna-XM_044923462.1	LOC6728441
qry::NC_052523.2	3009	11485	rna-XM_044923463.1	LOC6728441
qry::NC_052523.2	3026	11485	rna-XM_016176887.3	LOC6728441
qry::NC_052523.2	3026	11485	rna-XM_039295949.1	LOC6728441
qry::NC_052523.2	3027	11485	rna-XM_039295951.2	LOC6728441
qry::NC_052523.2	3027	11485	rna-XM_039295952.2	LOC6728441
qry::NC_052523.2	11827	13301	rna-XM_002103751.4	LOC6728442
qry::NC_052523.2	13752	17758	rna-XM_039295954.2	LOC6728444
qry::NC_052523.2	13820	15655	rna-XM_016176895.3	LOC6728443
qry::NC_052523.2	15913	17758	rna-XM_002103753.4	LOC6728444
