seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	2655	11734	rna-NM_001299324.1	CG1648
ref::NT_033778.4	3000	4455	rna-NM_165696.2	CG1648
ref::NT_033778.4	3000	11734	rna-NM_136674.3	CG1648
ref::NT_033778.4	7191	8281	rna-NM_001169631.1	lectin-46Cb
ref::NT_033778.4	8981	10216	rna-NM_144376.2	lectin-46Ca
ref::NT_033778.4	12244	12867	rna-NM_001038848.2	CG34033
ref::NT_033778.4	12849	14636	rna-NM_165697.4	CG30001
ref::NT_033778.4	14763	18887	rna-NM_001144157.3	dila
ref::NT_033778.4	14763	18887	rna-NM_001299325.1	dila
ref::NT_033778.4	14763	18887	rna-NM_136675.3	dila
ref::NT_033778.4	19785	23037	rna-NM_165701.2	hebe
ref::NT_033778.4	19785	25253	rna-NM_001103778.2	hebe
ref::NT_033778.4	19785	25253	rna-NM_165699.2	hebe
ref::NT_033778.4	19785	28323	rna-NM_165700.3	hebe
qry::NC_052527.2	3000	4892	rna-XM_015198772.2	LOC6528806
qry::NC_052527.2	3000	12265	rna-XM_002089802.3	LOC6528806
qry::NC_052527.2	3000	12266	rna-XM_039370602.1	LOC6528806
qry::NC_052527.2	7524	8680	rna-XM_002089803.4	LOC6528807
qry::NC_052527.2	9438	10652	rna-XM_002089804.4	LOC6528808
qry::NC_052527.2	12825	13489	rna-XM_002089805.4	LOC6528809
qry::NC_052527.2	13465	15265	rna-XM_002089806.3	LOC6528810
qry::NC_052527.2	15390	19738	rna-XM_002089807.3	LOC6528811
qry::NC_052527.2	20385	25832	rna-XM_015198768.2	LOC6528812
qry::NC_052527.2	20385	25832	rna-XM_015198770.2	LOC6528812
qry::NC_052527.2	20385	25860	rna-XM_015198769.2	LOC6528812
qry::NC_052527.2	20385	28932	rna-XM_015198771.2	LOC6528812
