seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	968	16609	rna-NM_001273969.1	tou
ref::NT_033778.4	2363	28419	rna-NM_001273970.1	tou
ref::NT_033778.4	2363	39528	rna-NM_001103800.3	tou
ref::NT_033778.4	2363	39528	rna-NM_078977.5	tou
ref::NT_033778.4	3000	6118	rna-NM_165844.2	tou
ref::NT_033778.4	14824	14968	rna-NR_002542.2	snoRNA:Psi28S-1180
ref::NT_033778.4	39678	40177	rna-NR_073870.1	lncRNA:CR43907
ref::NT_033778.4	40352	42506	rna-NM_136843.2	Egm
ref::NT_033778.4	42962	55998	rna-NM_001169647.3	atos
ref::NT_033778.4	43333	64424	rna-NM_001259338.3	atos
ref::NT_033778.4	43333	64424	rna-NM_001382201.1	atos
ref::NT_033778.4	43671	55998	rna-NM_136844.4	atos
ref::NT_033778.4	64960	69712	rna-NM_001103801.2	CG9003
ref::NT_033778.4	64960	75099	rna-NM_001273973.2	CG9003
ref::NT_033778.4	65751	69396	rna-NM_136845.3	CG9003
ref::NT_033778.4	65751	71997	rna-NM_001103802.2	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001103803.3	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001273971.2	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001273972.2	CG9003
qry::NC_052521.2	3000	7274	rna-XM_039291447.2	LOC6734016
qry::NC_052521.2	3000	40158	rna-XM_039291443.2	LOC6734016
qry::NC_052521.2	3000	40159	rna-XM_039291441.2	LOC6734016
qry::NC_052521.2	3000	40159	rna-XM_039291442.2	LOC6734016
qry::NC_052521.2	3000	40159	rna-XM_044922379.1	LOC6734016
qry::NC_052521.2	4867	40160	rna-XM_039291445.2	LOC6734016
qry::NC_052521.2	5437	40160	rna-XM_039291446.2	LOC6734016
qry::NC_052521.2	41050	43227	rna-XM_002081022.4	LOC6734019
qry::NC_052521.2	43546	65185	rna-XM_016182287.3	LOC6734020
qry::NC_052521.2	66451	72595	rna-XM_016182284.3	LOC6734021
qry::NC_052521.2	66451	75770	rna-XM_039291448.2	LOC6734021
qry::NC_052521.2	66451	75778	rna-XM_016182285.3	LOC6734021
qry::NC_052521.2	66451	75778	rna-XM_044922380.1	LOC6734021
