seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	22729	rna-NM_001298713.1	rau
ref::NT_033779.5	3000	22729	rna-NM_135121.3	rau
ref::NT_033779.5	26972	27576	rna-NM_001298714.1	CG44574
ref::NT_033779.5	27581	28005	rna-NM_001169421.2	Sfp26Ac
ref::NT_033779.5	28119	28722	rna-NM_001298715.1	CG43185
ref::NT_033779.5	28163	28688	rna-NM_001258972.1	CG43185
ref::NT_033779.5	29233	29840	rna-NM_001298716.1	CG9029
ref::NT_033779.5	29233	29840	rna-NM_135122.3	CG9029
ref::NT_033779.5	30435	31220	rna-NR_124104.1	lncRNA:CR44577
ref::NT_033779.5	30745	31220	rna-NR_124105.1	lncRNA:CR44577
ref::NT_033779.5	31380	31715	rna-NR_124106.1	lncRNA:CR44578
qry::NC_052520.2	0	67	rna-XM_016179620.3	LOC6731123
qry::NC_052520.2	0	67	rna-XM_016179621.3	LOC6731123
qry::NC_052520.2	0	67	rna-XM_016179623.3	LOC6731123
qry::NC_052520.2	0	67	rna-XM_016179622.3	LOC6731123
qry::NC_052520.2	0	67	rna-XM_016179619.3	LOC6731123
qry::NC_052520.2	3000	22827	rna-XM_016178931.3	LOC6731124
qry::NC_052520.2	26989	27643	rna-XM_016183567.3	LOC27207940
qry::NC_052520.2	27631	28132	rna-XM_016184598.3	LOC27209088
qry::NC_052520.2	28362	31312	rna-XR_001600815.2	LOC27208343
qry::NC_052520.2	28446	28757	rna-XM_016183086.3	LOC27207399
qry::NC_052520.2	29200	29780	rna-XM_002078246.4	LOC6731125
qry::NC_052520.2	29859	31312	rna-XR_001600816.3	LOC27208343
qry::NC_052520.2	29859	31312	rna-XR_001600817.3	LOC27208343
