seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	163	rna-NM_078968.2	etaTry
ref::NT_033778.4	454	1500	rna-NM_078969.5	thetaTry
ref::NT_033778.4	3000	3859	rna-NM_057423.4	alphaTry
ref::NT_033778.4	3977	4806	rna-NM_080373.3	epsilonTry
ref::NT_033778.4	5065	5877	rna-NM_080165.3	betaTry
ref::NT_033778.4	5065	6135	rna-NM_001299385.1	betaTry
ref::NT_033778.4	7801	8610	rna-NM_165823.3	gammaTry
ref::NT_033778.4	9551	10361	rna-NM_165824.3	CG30031
ref::NT_033778.4	12304	13113	rna-NM_165825.2	CG30025
ref::NT_033778.4	14059	14868	rna-NM_078970.4	deltaTry
ref::NT_033778.4	14854	15340	rna-NM_136831.2	CG13202
ref::NT_033778.4	15460	16277	rna-NM_078971.4	iotaTry
qry::NC_052521.2	0	181	rna-XM_002080996.4	LOC6733988
qry::NC_052521.2	666	1507	rna-XM_002080997.4	LOC6733989
qry::NC_052521.2	3000	3926	rna-XM_016184832.1	LOC27209398
qry::NC_052521.2	3977	4815	rna-XM_002080998.4	LOC6733990
qry::NC_052521.2	5050	5878	rna-XM_002080999.4	LOC6733991
qry::NC_052521.2	7084	7899	rna-XM_039292905.2	LOC120284488
qry::NC_052521.2	9069	9902	rna-XM_002076253.4	LOC6739389
qry::NC_052521.2	9898	10337	rna-XM_002076254.4	LOC6739388
qry::NC_052521.2	10394	11310	rna-XM_002076255.4	LOC6739382
qry::NC_052521.2	11336	11422	rna-Trnastop-uca	Trnastop-uca
qry::NC_052521.2	11659	12965	rna-XM_016172134.3	LOC6739383
