seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	968	16609	rna-NM_001273969.1	tou
ref::NT_033778.4	2363	28419	rna-NM_001273970.1	tou
ref::NT_033778.4	2363	39528	rna-NM_001103800.3	tou
ref::NT_033778.4	2363	39528	rna-NM_078977.5	tou
ref::NT_033778.4	3000	6118	rna-NM_165844.2	tou
ref::NT_033778.4	14824	14968	rna-NR_002542.2	snoRNA:Psi28S-1180
ref::NT_033778.4	39678	40177	rna-NR_073870.1	lncRNA:CR43907
ref::NT_033778.4	40352	42506	rna-NM_136843.2	Egm
ref::NT_033778.4	42962	55998	rna-NM_001169647.3	atos
ref::NT_033778.4	43333	64424	rna-NM_001259338.3	atos
ref::NT_033778.4	43333	64424	rna-NM_001382201.1	atos
ref::NT_033778.4	43671	55998	rna-NM_136844.4	atos
ref::NT_033778.4	64960	69712	rna-NM_001103801.2	CG9003
ref::NT_033778.4	64960	75099	rna-NM_001273973.2	CG9003
ref::NT_033778.4	65751	69396	rna-NM_136845.3	CG9003
ref::NT_033778.4	65751	71997	rna-NM_001103802.2	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001103803.3	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001273971.2	CG9003
ref::NT_033778.4	65751	75099	rna-NM_001273972.2	CG9003
qry::NC_052528.2	3000	16619	rna-XM_002091155.4	LOC6530257
qry::NC_052528.2	8471	10615	gene-LOC26535279	LOC26535279
qry::NC_052528.2	16995	19159	rna-XM_002091156.3	LOC6530258
qry::NC_052528.2	42995	55014	rna-XM_039373237.2	LOC6530260
qry::NC_052528.2	42995	55501	rna-XM_039373236.1	LOC6530260
qry::NC_052528.2	42995	58689	rna-XM_039373232.2	LOC6530260
qry::NC_052528.2	42995	58689	rna-XM_039373233.2	LOC6530260
qry::NC_052528.2	42995	58689	rna-XM_039373234.2	LOC6530260
qry::NC_052528.2	42996	58689	rna-XM_002091158.3	LOC6530260
qry::NC_052528.2	42996	58689	rna-XM_039373235.2	LOC6530260
qry::NC_052528.2	53068	58689	rna-XM_039373238.1	LOC6530260
